,name,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_parent,plant_name_id,taxon_status,matched_by,matched_name
11,sauromatum venosum,88690-1,Sauromatum venosum,Sauromatum venosum (Aiton) Kunth,Araceae,Species,Sauromatum venosum,Sauromatum venosum (Aiton) Kunth,88690-1,Sauromatum,186383,Accepted,direct_wcvp_unique,Sauromatum venosum
12,jeffersonia diphylla (l.) pers,1187336-2,Jeffersonia diphylla,Jeffersonia diphylla (L.) Pers.,Berberidaceae,Species,Jeffersonia diphylla,Jeffersonia diphylla (L.) Pers.,1187336-2,Jeffersonia,2332915,Accepted,direct_wcvp_w_author_unique,Jeffersonia diphylla (L.) Pers.
13,scrophularia canina l,809084-1,Scrophularia canina,Scrophularia canina L.,Scrophulariaceae,Species,Scrophularia canina,Scrophularia canina L.,809084-1,Scrophularia,2585617,Accepted,direct_wcvp_w_author_unique,Scrophularia canina L.
15,berberis umbellata wall. ex g.don,107163-1,Berberis umbellata,Berberis umbellata Wall. ex G.Don,Berberidaceae,Species,Berberis umbellata,Berberis umbellata Wall. ex G.Don,107163-1,Berberis,2674567,Accepted,direct_wcvp_w_author_unique,Berberis umbellata Wall. ex G.Don
16,achillea moschata wulfen,876363-1,Achillea erba-rotta subsp. moschata,Achillea erba-rotta subsp. moschata (Wulfen) Vacc.,Asteraceae,Subspecies,Achillea erba-rotta,Achillea erba-rotta All.,50869252-1,Achillea erba-rotta,3109908,Synonym,direct_wcvp_w_author_unique,Achillea moschata Wulfen
17,momordica charantia,293413-1,Momordica charantia,Momordica charantia L.,Cucurbitaceae,Species,Momordica charantia,Momordica charantia L.,293413-1,Momordica,2372864,Accepted,direct_wcvp_unique,Momordica charantia
18,caulophyllum thalictroides (l.)michaux,1056122-2,Caulophyllum thalictroides,Caulophyllum thalictroides (L.) Michx.,Berberidaceae,Species,Caulophyllum thalictroides,Caulophyllum thalictroides (L.) Michx.,1056122-2,Caulophyllum,2706078,Accepted,knms_single,Caulophyllum thalictroides Fl. Bor.-Amer. 1: 205 (1803) (L.) Michx. 1803
19,tilia tomentosa moench,835608-1,Tilia tomentosa,Tilia tomentosa Moench,Malvaceae,Species,Tilia tomentosa,Tilia tomentosa Moench,835608-1,Tilia,2517619,Accepted,direct_wcvp_w_author_unique,Tilia tomentosa Moench
20,corydalis hendersonii hemsl,672272-1,Corydalis hendersonii,Corydalis hendersonii Hemsl.,Papaveraceae,Species,Corydalis hendersonii,Corydalis hendersonii Hemsl.,672272-1,Corydalis,2738816,Accepted,direct_wcvp_w_author_unique,Corydalis hendersonii Hemsl.
21,origanum vulgare,453395-1,Origanum vulgare,Origanum vulgare L.,Lamiaceae,Species,Origanum vulgare,Origanum vulgare L.,453395-1,Origanum,143954,Accepted,direct_wcvp_unique,Origanum vulgare
22,oenothera biennis,172755-2,Oenothera biennis,Oenothera biennis L.,Onagraceae,Species,Oenothera biennis,Oenothera biennis L.,172755-2,Oenothera,2399189,Accepted,direct_wcvp_unique,Oenothera biennis
23,scrophularia ningpoensis hemsl,809386-1,Scrophularia ningpoensis,Scrophularia ningpoensis Hemsl.,Scrophulariaceae,Species,Scrophularia ningpoensis,Scrophularia ningpoensis Hemsl.,809386-1,Scrophularia,2587380,Accepted,direct_wcvp_w_author_unique,Scrophularia ningpoensis Hemsl.
27,cimicifuga racemosa,316204-2,Actaea racemosa,Actaea racemosa L.,Ranunculaceae,Species,Actaea racemosa,Actaea racemosa L.,316204-2,Actaea,2720998,Synonym,direct_wcvp_unique,Cimicifuga racemosa
28,shorea roxburghii,77217927-1,Anthoshorea roxburghii,Anthoshorea roxburghii (G.Don) P.S.Ashton & J.Heck.,Dipterocarpaceae,Species,Anthoshorea roxburghii,Anthoshorea roxburghii (G.Don) P.S.Ashton & J.Heck.,77217927-1,Anthoshorea,2592562,Synonym,direct_wcvp_unique,Shorea roxburghii
29,prunella vulgaris,455176-1,Prunella vulgaris,Prunella vulgaris L.,Lamiaceae,Species,Prunella vulgaris,Prunella vulgaris L.,455176-1,Prunella,166020,Accepted,direct_wcvp_unique,Prunella vulgaris
31,gentiana officinalis,368591-1,Gentiana officinalis,Gentiana officinalis Harry Sm.,Gentianaceae,Species,Gentiana officinalis,Gentiana officinalis Harry Sm.,368591-1,Gentiana,2821065,Accepted,direct_wcvp_unique,Gentiana officinalis
32,coptis teeta wall,710326-1,Coptis teeta,Coptis teeta Wall.,Ranunculaceae,Species,Coptis teeta,Coptis teeta Wall.,710326-1,Coptis,2736135,Accepted,direct_wcvp_w_author_unique,Coptis teeta Wall.
33,avena sativa,391732-1,Avena sativa,Avena sativa L.,Poaceae,Species,Avena sativa,Avena sativa L.,391732-1,Avena,397860,Accepted,direct_wcvp_unique,Avena sativa
34,berberis petiolaris wall. ex g.don,106978-1,Berberis petiolaris,Berberis petiolaris Wall. ex G.Don,Berberidaceae,Species,Berberis petiolaris,Berberis petiolaris Wall. ex G.Don,106978-1,Berberis,2674269,Accepted,direct_wcvp_w_author_unique,Berberis petiolaris Wall. ex G.Don
35,syzygium aromaticum,601421-1,Syzygium aromaticum,Syzygium aromaticum (L.) Merr. & L.M.Perry,Myrtaceae,Species,Syzygium aromaticum,Syzygium aromaticum (L.) Merr. & L.M.Perry,601421-1,Syzygium,199236,Accepted,direct_wcvp_unique,Syzygium aromaticum
36,hydrastis canadensis,305699-2,Hydrastis canadensis,Hydrastis canadensis L.,Ranunculaceae,Species,Hydrastis canadensis,Hydrastis canadensis L.,305699-2,Hydrastis,2855852,Accepted,direct_wcvp,Hydrastis canadensis
37,thymus pulegioides l,461562-1,Thymus pulegioides,Thymus pulegioides L.,Lamiaceae,Species,Thymus pulegioides,Thymus pulegioides L.,461562-1,Thymus,205310,Accepted,direct_wcvp_w_author_unique,Thymus pulegioides L.
39,triticum aestivum l,332110-2,Triticum aestivum,Triticum aestivum L.,Poaceae,Species,Triticum aestivum,Triticum aestivum L.,332110-2,Triticum,448365,Accepted,direct_wcvp_w_author_unique,Triticum aestivum L.
40,eryngium cymosum f. delaroche,841746-1,Eryngium cymosum,Eryngium cymosum F.Delaroche,Apiaceae,Species,Eryngium cymosum,Eryngium cymosum F.Delaroche,841746-1,Eryngium,2799215,Accepted,autoresolution,Eryngium cymosum
41,malva sylvestris l,561932-1,Malva sylvestris,Malva sylvestris L.,Malvaceae,Species,Malva sylvestris,Malva sylvestris L.,561932-1,Malva,2504118,Accepted,direct_wcvp_w_author_unique,Malva sylvestris L.
43,papaver hybridum l,,Roemeria sicula,"Roemeria sicula (Guss.) Galasso, Banfi, L.Sáez & Bartolucci",Papaveraceae,Species,Roemeria sicula,"Roemeria sicula (Guss.) Galasso, Banfi, L.Sáez & Bartolucci",,Roemeria,2560734,Synonym,direct_wcvp_w_author_unique,Papaver hybridum L.
46,ephedra sinica,383460-1,Ephedra sinica,Ephedra sinica Stapf,Ephedraceae,Species,Ephedra sinica,Ephedra sinica Stapf,383460-1,Ephedra,333041,Accepted,direct_wcvp_unique,Ephedra sinica
48,juglans regia,442427-1,Juglans regia,Juglans regia L.,Juglandaceae,Species,Juglans regia,Juglans regia L.,442427-1,Juglans,2331747,Accepted,direct_wcvp_unique,Juglans regia
49,citrullus colocynthis,291930-1,Citrullus colocynthis,Citrullus colocynthis (L.) Schrad.,Cucurbitaceae,Species,Citrullus colocynthis,Citrullus colocynthis (L.) Schrad.,291930-1,Citrullus,2723897,Accepted,direct_wcvp_unique,Citrullus colocynthis
50,cucurbita pepo l,292416-1,Cucurbita pepo,Cucurbita pepo L.,Cucurbitaceae,Species,Cucurbita pepo,Cucurbita pepo L.,292416-1,Cucurbita,2747186,Accepted,direct_wcvp_w_author_unique,Cucurbita pepo L.
51,hyssopus officinalis,127231-2,Hyssopus officinalis,Hyssopus officinalis L.,Lamiaceae,Species,Hyssopus officinalis,Hyssopus officinalis L.,127231-2,Hyssopus,102273,Accepted,direct_wcvp_unique,Hyssopus officinalis
53,carlina acaulis,189213-1,Carlina acaulis,Carlina acaulis L.,Asteraceae,Species,Carlina acaulis,Carlina acaulis L.,189213-1,Carlina,2925901,Accepted,direct_wcvp,Carlina acaulis
54,portulaca oleracea,323270-2,Portulaca oleracea,Portulaca oleracea L.,Portulacaceae,Species,Portulaca oleracea,Portulaca oleracea L.,323270-2,Portulaca,2566490,Accepted,direct_wcvp_unique,Portulaca oleracea
56,piper nigrum,682369-1,Piper nigrum,Piper nigrum L.,Piperaceae,Species,Piper nigrum,Piper nigrum L.,682369-1,Piper,2569664,Accepted,direct_wcvp_unique,Piper nigrum
58,mentha spicata l,451162-1,Mentha spicata,Mentha spicata L.,Lamiaceae,Species,Mentha spicata,Mentha spicata L.,451162-1,Mentha,125402,Accepted,direct_wcvp_w_author_unique,Mentha spicata L.
59,achillea millefolium,2294-2,Achillea millefolium,Achillea millefolium L.,Asteraceae,Species,Achillea millefolium,Achillea millefolium L.,2294-2,Achillea,2908230,Accepted,direct_wcvp_unique,Achillea millefolium
60,annona reticulata,72295-1,Annona reticulata,Annona reticulata L.,Annonaceae,Species,Annona reticulata,Annona reticulata L.,72295-1,Annona,2640996,Accepted,direct_wcvp,Annona reticulata
61,cichorium intybus,194533-1,Cichorium intybus,Cichorium intybus L.,Asteraceae,Species,Cichorium intybus,Cichorium intybus L.,194533-1,Cichorium,2901597,Accepted,direct_wcvp_unique,Cichorium intybus
63,thymus serpyllum,30066276-2,Thymus serpyllum,Thymus serpyllum L.,Lamiaceae,Species,Thymus serpyllum,Thymus serpyllum L.,30066276-2,Thymus,205442,Accepted,direct_wcvp_unique,Thymus serpyllum
64,salvia officinalis,456833-1,Salvia officinalis,Salvia officinalis L.,Lamiaceae,Species,Salvia officinalis,Salvia officinalis L.,456833-1,Salvia,183353,Accepted,direct_wcvp_unique,Salvia officinalis
65,anthemis arvensis,177158-1,Anthemis arvensis,Anthemis arvensis L.,Asteraceae,Species,Anthemis arvensis,Anthemis arvensis L.,177158-1,Anthemis,2906677,Accepted,direct_wcvp,Anthemis arvensis
66,abelmoschus esculentus,558006-1,Abelmoschus esculentus,Abelmoschus esculentus (L.) Moench,Malvaceae,Species,Abelmoschus esculentus,Abelmoschus esculentus (L.) Moench,558006-1,Abelmoschus,2609574,Accepted,direct_wcvp_unique,Abelmoschus esculentus
69,cucurbita maxima,30006538-2,Cucurbita maxima,Cucurbita maxima Duchesne,Cucurbitaceae,Species,Cucurbita maxima,Cucurbita maxima Duchesne,30006538-2,Cucurbita,2747160,Accepted,direct_wcvp_unique,Cucurbita maxima
70,papaver dubium l,673488-1,Papaver dubium,Papaver dubium L.,Papaveraceae,Species,Papaver dubium,Papaver dubium L.,673488-1,Papaver,2560793,Accepted,direct_wcvp_w_author_unique,Papaver dubium L.
71,brassica juncea,60442520-2,Brassica juncea,Brassica juncea (L.) Czern.,Brassicaceae,Species,Brassica juncea,Brassica juncea (L.) Czern.,60442520-2,Brassica,2682298,Accepted,direct_wcvp_unique,Brassica juncea
72,stachys iva,459647-1,Stachys iva,Stachys iva Griseb.,Lamiaceae,Species,Stachys iva,Stachys iva Griseb.,459647-1,Stachys,195205,Accepted,direct_wcvp_unique,Stachys iva
73,berberis microphylla g. forst,31472-2,Berberis microphylla,Berberis microphylla G.Forst.,Berberidaceae,Species,Berberis microphylla,Berberis microphylla G.Forst.,31472-2,Berberis,2674137,Accepted,direct_wcvp_w_author_unique,Berberis microphylla G.Forst.
74,scrophularia variegata m. bieb,60461553-2,Scrophularia variegata,Scrophularia variegata M.Bieb.,Scrophulariaceae,Species,Scrophularia variegata,Scrophularia variegata M.Bieb.,60461553-2,Scrophularia,3001125,Accepted,direct_wcvp_w_author_unique,Scrophularia variegata M.Bieb.
75,satureja montana,457736-1,Satureja montana,Satureja montana L.,Lamiaceae,Species,Satureja montana,Satureja montana L.,457736-1,Satureja,185794,Accepted,direct_wcvp_unique,Satureja montana
76,mentha piperita,450969-1,Mentha × piperita,Mentha × piperita L.,Lamiaceae,Species,Mentha × piperita,Mentha × piperita L.,450969-1,Mentha,125188,Accepted,knms_single,Mentha × piperita Sp. Pl.: 576 (1753) L. 1753
77,piper methysticum,198437-2,Piper methysticum,Piper methysticum G.Forst.,Piperaceae,Species,Piper methysticum,Piper methysticum G.Forst.,198437-2,Piper,2569602,Accepted,direct_wcvp,Piper methysticum
78,serenoa repens,941782-1,Serenoa repens,Serenoa repens (W.Bartram) Small,Arecaceae,Species,Serenoa repens,Serenoa repens (W.Bartram) Small,941782-1,Serenoa,190787,Accepted,direct_wcvp_unique,Serenoa repens
80,viola tricolor l,869428-1,Viola tricolor,Viola tricolor L.,Violaceae,Species,Viola tricolor,Viola tricolor L.,869428-1,Viola,2461201,Accepted,direct_wcvp_w_author_unique,Viola tricolor L.
81,lagenaria siceraria,134809-2,Lagenaria siceraria,Lagenaria siceraria (Molina) Standl.,Cucurbitaceae,Species,Lagenaria siceraria,Lagenaria siceraria (Molina) Standl.,134809-2,Lagenaria,2342950,Accepted,direct_wcvp_unique,Lagenaria siceraria
82,berberis koreana palib,106819-1,Berberis koreana,Berberis koreana Palib.,Berberidaceae,Species,Berberis koreana,Berberis koreana Palib.,106819-1,Berberis,2674019,Accepted,direct_wcvp_w_author_unique,Berberis koreana Palib.
83,vaccinium myrtillus,30006039-2,Vaccinium myrtillus,Vaccinium myrtillus L.,Ericaceae,Species,Vaccinium myrtillus,Vaccinium myrtillus L.,30006039-2,Vaccinium,2457648,Accepted,direct_wcvp_unique,Vaccinium myrtillus
84,equisetum myriochaetum,77060052-1,Equisetum myriochaetum,Equisetum myriochaetum Schltdl. & Cham.,Equisetaceae,Species,Equisetum myriochaetum,Equisetum myriochaetum Schltdl. & Cham.,77060052-1,Equisetum,3137125,Accepted,direct_wcvp_unique,Equisetum myriochaetum
85,azadirachta indica,1213180-2,Azadirachta indica,Azadirachta indica A.Juss.,Meliaceae,Species,Azadirachta indica,Azadirachta indica A.Juss.,1213180-2,Azadirachta,2667002,Accepted,direct_wcvp_unique,Azadirachta indica
86,ocimum tenuiflorum,453130-1,Ocimum tenuiflorum,Ocimum tenuiflorum L.,Lamiaceae,Species,Ocimum tenuiflorum,Ocimum tenuiflorum L.,453130-1,Ocimum,137105,Accepted,direct_wcvp_unique,Ocimum tenuiflorum
87,moringa oleifera,584736-1,Moringa oleifera,Moringa oleifera Lam.,Moringaceae,Species,Moringa oleifera,Moringa oleifera Lam.,584736-1,Moringa,2501705,Accepted,direct_wcvp_unique,Moringa oleifera
88,lavandula angustifolia,449008-1,Lavandula angustifolia,Lavandula angustifolia Mill.,Lamiaceae,Species,Lavandula angustifolia,Lavandula angustifolia Mill.,449008-1,Lavandula,108971,Accepted,direct_wcvp,Lavandula angustifolia
89,ageratina petiolaris,6986-2,Ageratina petiolaris,Ageratina petiolaris (Moc. & Sessé ex DC.) R.M.King & H.Rob.,Asteraceae,Species,Ageratina petiolaris,Ageratina petiolaris (Moc. & Sessé ex DC.) R.M.King & H.Rob.,6986-2,Ageratina,3127467,Accepted,direct_wcvp_unique,Ageratina petiolaris
91,capsicum annuum,316944-2,Capsicum annuum,Capsicum annuum L.,Solanaceae,Species,Capsicum annuum,Capsicum annuum L.,316944-2,Capsicum,2698415,Accepted,direct_wcvp_unique,Capsicum annuum
92,ginkgo biloba,262125-1,Ginkgo biloba,Ginkgo biloba L.,Ginkgoaceae,Species,Ginkgo biloba,Ginkgo biloba L.,262125-1,Ginkgo,334053,Accepted,direct_wcvp_unique,Ginkgo biloba
93,mahonia fortunei (lindl. )fedde,106663-1,Berberis fortunei,Berberis fortunei Lindl.,Berberidaceae,Species,Berberis fortunei,Berberis fortunei Lindl.,106663-1,Berberis,2358498,Synonym,knms_single,Mahonia fortunei Bot. Jahrb. Syst. 31: 130 (1901) (Lindl.) Fedde 1901
94,stellaria media,159330-1,Stellaria media,Stellaria media (L.) Vill.,Caryophyllaceae,Species,Stellaria media,Stellaria media (L.) Vill.,159330-1,Stellaria,2481938,Accepted,direct_wcvp,Stellaria media
96,anethum graveolens l,837530-1,Anethum graveolens,Anethum graveolens L.,Apiaceae,Species,Anethum graveolens,Anethum graveolens L.,837530-1,Anethum,2638934,Accepted,direct_wcvp_w_author_unique,Anethum graveolens L.
97,annickia chlorantha (oliv. )setten & maas (ex-enantiachlorantha oliv,948442-1,Annickia chlorantha,Annickia chlorantha (Oliv.) Setten & Maas,Annonaceae,Species,Annickia chlorantha,Annickia chlorantha (Oliv.) Setten & Maas,948442-1,Annickia,2640759,Accepted,knms_single,Annickia chlorantha Taxon 39: 676 (1990) (Oliv.) Setten & Maas 1990
98,matricaria chamomilla l,154715-2,Matricaria chamomilla,Matricaria chamomilla L.,Asteraceae,Species,Matricaria chamomilla,Matricaria chamomilla L.,154715-2,Matricaria,2906535,Accepted,direct_wcvp_w_author_unique,Matricaria chamomilla L.
100,berberis asiatica,106433-1,Berberis asiatica,Berberis asiatica Roxb. ex DC.,Berberidaceae,Species,Berberis asiatica,Berberis asiatica Roxb. ex DC.,106433-1,Berberis,2673446,Accepted,direct_wcvp,Berberis asiatica
102,hypericum hircinum subsp. majus,924265-1,Hypericum hircinum subsp. majus,Hypericum hircinum subsp. majus (Aiton) N.Robson,Hypericaceae,Subspecies,Hypericum hircinum,Hypericum hircinum L.,433491-1,Hypericum hircinum,515620,Accepted,direct_wcvp_unique,Hypericum hircinum subsp. majus
108,calendula officinalis,187894-1,Calendula officinalis,Calendula officinalis L.,Asteraceae,Species,Calendula officinalis,Calendula officinalis L.,187894-1,Calendula,2910167,Accepted,direct_wcvp_unique,Calendula officinalis
109,pygeum africanum,729417-1,Prunus africana,Prunus africana (Hook.f.) Kalkman,Rosaceae,Species,Prunus africana,Prunus africana (Hook.f.) Kalkman,729417-1,Prunus,2921971,Synonym,direct_wcvp_unique,Pygeum africanum
110,taxus brevifolia,249736-2,Taxus brevifolia,Taxus brevifolia Nutt.,Taxaceae,Species,Taxus brevifolia,Taxus brevifolia Nutt.,249736-2,Taxus,378623,Accepted,direct_wcvp_unique,Taxus brevifolia
112,hypericum perforatum,433719-1,Hypericum perforatum,Hypericum perforatum L.,Hypericaceae,Species,Hypericum perforatum,Hypericum perforatum L.,433719-1,Hypericum,516286,Accepted,direct_wcvp_unique,Hypericum perforatum
113,echinacea angustifolia dc,87143-2,Echinacea angustifolia,Echinacea angustifolia DC.,Asteraceae,Species,Echinacea angustifolia,Echinacea angustifolia DC.,87143-2,Echinacea,2910344,Accepted,direct_wcvp_w_author_unique,Echinacea angustifolia DC.
115,ficus carica,852556-1,Ficus carica,Ficus carica L.,Moraceae,Species,Ficus carica,Ficus carica L.,852556-1,Ficus,2809827,Accepted,direct_wcvp_unique,Ficus carica
116,curcuma longa,796451-1,Curcuma longa,Curcuma longa L.,Zingiberaceae,Species,Curcuma longa,Curcuma longa L.,796451-1,Curcuma,235249,Accepted,direct_wcvp_unique,Curcuma longa
117,lycium barbarum,816356-1,Lycium barbarum,Lycium barbarum L.,Solanaceae,Species,Lycium barbarum,Lycium barbarum L.,816356-1,Lycium,2499019,Accepted,direct_wcvp,Lycium barbarum
118,allium cepa,527795-1,Allium cepa,Allium cepa L.,Amaryllidaceae,Species,Allium cepa,Allium cepa L.,527795-1,Allium,295261,Accepted,direct_wcvp_unique,Allium cepa
121,rauvolfia serpentina,81648-1,Rauvolfia serpentina,Rauvolfia serpentina (L.) Benth. ex Kurz,Apocynaceae,Species,Rauvolfia serpentina,Rauvolfia serpentina (L.) Benth. ex Kurz,81648-1,Rauvolfia,176968,Accepted,direct_wcvp_unique,Rauvolfia serpentina
122,foeniculum vulgare,842680-1,Foeniculum vulgare,Foeniculum vulgare Mill.,Apiaceae,Species,Foeniculum vulgare,Foeniculum vulgare Mill.,842680-1,Foeniculum,2813604,Accepted,direct_wcvp_unique,Foeniculum vulgare
125,mimosa pudica,313242-2,Mimosa pudica,Mimosa pudica L.,Fabaceae,Species,Mimosa pudica,Mimosa pudica L.,313242-2,Mimosa,2373711,Accepted,direct_wcvp_unique,Mimosa pudica
126,trigonella foenum-graecum,523957-1,Trigonella foenum-graecum,Trigonella foenum-graecum L.,Fabaceae,Species,Trigonella foenum-graecum,Trigonella foenum-graecum L.,523957-1,Trigonella,2441407,Accepted,direct_wcvp_unique,Trigonella foenum-graecum
127,hebe salicifolia,812616-1,Veronica salicifolia,Veronica salicifolia G.Forst.,Plantaginaceae,Species,Veronica salicifolia,Veronica salicifolia G.Forst.,812616-1,Veronica,2840557,Synonym,direct_wcvp_unique,Hebe salicifolia
129,berberis lycium royle,106865-1,Berberis lycium,Berberis lycium Royle,Berberidaceae,Species,Berberis lycium,Berberis lycium Royle,106865-1,Berberis,2674093,Accepted,direct_wcvp_w_author_unique,Berberis lycium Royle
130,mitchella repens,280970-2,Mitchella repens,Mitchella repens L.,Rubiaceae,Species,Mitchella repens,Mitchella repens L.,280970-2,Mitchella,128666,Accepted,direct_wcvp_unique,Mitchella repens
131,berberis chitria buch.-ham.ex lindl,106427-1,Berberis aristata,Berberis aristata DC.,Berberidaceae,Species,Berberis aristata,Berberis aristata DC.,106427-1,Berberis,2673596,Illegitimate,autoresolution,Berberis chitria
132,berberis empetrifolia lam,106632-1,Berberis empetrifolia,Berberis empetrifolia Lam.,Berberidaceae,Species,Berberis empetrifolia,Berberis empetrifolia Lam.,106632-1,Berberis,2673747,Accepted,direct_wcvp_w_author_unique,Berberis empetrifolia Lam.
134,allium sativum l,528796-1,Allium sativum,Allium sativum L.,Amaryllidaceae,Species,Allium sativum,Allium sativum L.,528796-1,Allium,296499,Accepted,direct_wcvp_w_author_unique,Allium sativum L.
135,entada africana,493820-1,Entada africana,Entada africana Guill. & Perr.,Fabaceae,Species,Entada africana,Entada africana Guill. & Perr.,493820-1,Entada,2789428,Accepted,direct_wcvp_unique,Entada africana
136,salvia fruticosa mill,456249-1,Salvia fruticosa,Salvia fruticosa Mill.,Lamiaceae,Species,Salvia fruticosa,Salvia fruticosa Mill.,456249-1,Salvia,182683,Accepted,direct_wcvp_w_author_unique,Salvia fruticosa Mill.
137,laurus nobilis,465049-1,Laurus nobilis,Laurus nobilis L.,Lauraceae,Species,Laurus nobilis,Laurus nobilis L.,465049-1,Laurus,2349094,Accepted,direct_wcvp_unique,Laurus nobilis
138,argemone albiflora hornem,671680-1,Argemone albiflora,Argemone albiflora Hornem.,Papaveraceae,Species,Argemone albiflora,Argemone albiflora Hornem.,671680-1,Argemone,2650467,Accepted,direct_wcvp_w_author_unique,Argemone albiflora Hornem.
139,zingiber officinale,798372-1,Zingiber officinale,Zingiber officinale Roscoe,Zingiberaceae,Species,Zingiber officinale,Zingiber officinale Roscoe,798372-1,Zingiber,273361,Accepted,direct_wcvp_unique,Zingiber officinale
140,carica papaya,30011248-2,Carica papaya,Carica papaya L.,Caricaceae,Species,Carica papaya,Carica papaya L.,30011248-2,Carica,2700919,Accepted,direct_wcvp_unique,Carica papaya
141,impatiens capensis,30008241-2,Impatiens capensis,Impatiens capensis Meerb.,Balsaminaceae,Species,Impatiens capensis,Impatiens capensis Meerb.,30008241-2,Impatiens,2862264,Accepted,direct_wcvp,Impatiens capensis
143,nigella sativa l,711687-1,Nigella sativa,Nigella sativa L.,Ranunculaceae,Species,Nigella sativa,Nigella sativa L.,711687-1,Nigella,2381679,Accepted,direct_wcvp_w_author_unique,Nigella sativa L.
144,rosmarinus officinalis,457138-1,Salvia rosmarinus,Salvia rosmarinus Spenn.,Lamiaceae,Species,Salvia rosmarinus,Salvia rosmarinus Spenn.,457138-1,Salvia,179873,Synonym,direct_wcvp_unique,Rosmarinus officinalis
146,coptis chinensis franch,710313-1,Coptis chinensis,Coptis chinensis Franch.,Ranunculaceae,Species,Coptis chinensis,Coptis chinensis Franch.,710313-1,Coptis,2736105,Accepted,direct_wcvp_w_author_unique,Coptis chinensis Franch.
147,chelidonium majus,303589-2,Chelidonium majus,Chelidonium majus L.,Papaveraceae,Species,Chelidonium majus,Chelidonium majus L.,303589-2,Chelidonium,2716702,Accepted,direct_wcvp_unique,Chelidonium majus
148,viola odorata,868828-1,Viola odorata,Viola odorata L.,Violaceae,Species,Viola odorata,Viola odorata L.,868828-1,Viola,2459312,Accepted,direct_wcvp_unique,Viola odorata
149,capsella bursa-pastoris,30092589-2,Capsella bursa-pastoris,Capsella bursa-pastoris (L.) Medik.,Brassicaceae,Species,Capsella bursa-pastoris,Capsella bursa-pastoris (L.) Medik.,30092589-2,Capsella,2697999,Accepted,direct_wcvp_unique,Capsella bursa-pastoris
150,ficus religiosa,853563-1,Ficus religiosa,Ficus religiosa L.,Moraceae,Species,Ficus religiosa,Ficus religiosa L.,853563-1,Ficus,2812027,Accepted,direct_wcvp,Ficus religiosa
151,taraxacum officinale,254151-1,Taraxacum sect. Taraxacum,Taraxacum sect. Taraxacum F.H.Wigg.,Asteraceae,Species,Taraxacum sect. Taraxacum,Taraxacum sect. Taraxacum F.H.Wigg.,254151-1,Taraxacum,3137644,Synonym,direct_wcvp_unique,Taraxacum officinale
