,name,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_parent,plant_name_id,taxon_status,matched_by,matched_name
17,asparagus officinalis,531229-1,Asparagus officinalis,Asparagus officinalis L.,Asparagaceae,Species,Asparagus officinalis,Asparagus officinalis L.,531229-1,Asparagus,275197,Accepted,direct_wcvp_unique,Asparagus officinalis
18,pulicaria wightiana,240627-1,Pulicaria wightiana,Pulicaria wightiana (DC.) C.B.Clarke,Asteraceae,Species,Pulicaria wightiana,Pulicaria wightiana (DC.) C.B.Clarke,240627-1,Pulicaria,3113751,Accepted,direct_wcvp_unique,Pulicaria wightiana
21,hydrastis canadensis l,305699-2,Hydrastis canadensis,Hydrastis canadensis L.,Ranunculaceae,Species,Hydrastis canadensis,Hydrastis canadensis L.,305699-2,Hydrastis,2855852,Accepted,direct_wcvp_w_author_unique,Hydrastis canadensis L.
22,entada africana,493820-1,Entada africana,Entada africana Guill. & Perr.,Fabaceae,Species,Entada africana,Entada africana Guill. & Perr.,493820-1,Entada,2789428,Accepted,direct_wcvp_unique,Entada africana
23,berberis thunbergii dc,107136-1,Berberis thunbergii,Berberis thunbergii DC.,Berberidaceae,Species,Berberis thunbergii,Berberis thunbergii DC.,107136-1,Berberis,2674513,Accepted,direct_wcvp_w_author_unique,Berberis thunbergii DC.
24,sinopodophyllum hexandrum(royle) t. s. ying,327192-2,Podophyllum hexandrum,Podophyllum hexandrum Royle,Berberidaceae,Species,Podophyllum hexandrum,Podophyllum hexandrum Royle,327192-2,Podophyllum,2605548,Synonym,knms_single,Sinopodophyllum hexandrum Vasc. Pl. Hengduan Mount. 1: 558 (1993) (Royle) T.S.Ying 1993
25,hypericum perforatum,433719-1,Hypericum perforatum,Hypericum perforatum L.,Hypericaceae,Species,Hypericum perforatum,Hypericum perforatum L.,433719-1,Hypericum,516286,Accepted,direct_wcvp_unique,Hypericum perforatum
26,berberis darwinii hook,273235-2,Berberis darwinii,Berberis darwinii Hook.,Berberidaceae,Species,Berberis darwinii,Berberis darwinii Hook.,273235-2,Berberis,2673673,Accepted,direct_wcvp_w_author_unique,Berberis darwinii Hook.
27,cecropia obtusifolia,850947-1,Cecropia obtusifolia,Cecropia obtusifolia Bertol.,Urticaceae,Species,Cecropia obtusifolia,Cecropia obtusifolia Bertol.,850947-1,Cecropia,2707088,Accepted,direct_wcvp_unique,Cecropia obtusifolia
30,panax ginseng c.a.mey,91472-1,Panax ginseng,Panax ginseng C.A.Mey.,Araliaceae,Species,Panax ginseng,Panax ginseng C.A.Mey.,91472-1,Panax,146697,Accepted,direct_wcvp_w_author_unique,Panax ginseng C.A.Mey.
31,areca catechu,664107-1,Areca catechu,Areca catechu L.,Arecaceae,Species,Areca catechu,Areca catechu L.,664107-1,Areca,14517,Accepted,direct_wcvp_unique,Areca catechu
32,sedum acre,274996-1,Sedum acre,Sedum acre L.,Crassulaceae,Species,Sedum acre,Sedum acre L.,274996-1,Sedum,2483146,Accepted,direct_wcvp_unique,Sedum acre
33,dictamnus albus,772356-1,Dictamnus albus,Dictamnus albus L.,Rutaceae,Species,Dictamnus albus,Dictamnus albus L.,772356-1,Dictamnus,2766952,Accepted,direct_wcvp_unique,Dictamnus albus
34,papaver dubium l,673488-1,Papaver dubium,Papaver dubium L.,Papaveraceae,Species,Papaver dubium,Papaver dubium L.,673488-1,Papaver,2560793,Accepted,direct_wcvp_w_author_unique,Papaver dubium L.
35,euclea natalensis,323328-1,Euclea natalensis,Euclea natalensis A.DC.,Ebenaceae,Species,Euclea natalensis,Euclea natalensis A.DC.,323328-1,Euclea,385329,Accepted,direct_wcvp_unique,Euclea natalensis
36,vaccinium myrtillus,30006039-2,Vaccinium myrtillus,Vaccinium myrtillus L.,Ericaceae,Species,Vaccinium myrtillus,Vaccinium myrtillus L.,30006039-2,Vaccinium,2457648,Accepted,direct_wcvp_unique,Vaccinium myrtillus
37,vaccinium vitis-idaea l,293975-2,Vaccinium vitis-idaea,Vaccinium vitis-idaea L.,Ericaceae,Species,Vaccinium vitis-idaea,Vaccinium vitis-idaea L.,293975-2,Vaccinium,2457314,Accepted,direct_wcvp_w_author_unique,Vaccinium vitis-idaea L.
38,glaucium corniculatum (l.)rud. subsp. corniculatum,673158-1,Glaucium corniculatum,Glaucium corniculatum (L.) Rudolph,Papaveraceae,Species,Glaucium corniculatum,Glaucium corniculatum (L.) Rudolph,673158-1,Glaucium,2826321,Accepted,autoresolution,Glaucium corniculatum
39,tinospora sinensis (lour. )merr,581638-1,Tinospora sinensis,Tinospora sinensis (Lour.) Merr.,Menispermaceae,Species,Tinospora sinensis,Tinospora sinensis (Lour.) Merr.,581638-1,Tinospora,2516871,Accepted,knms_single,Tinospora sinensis Sunyatsenia 1: 193 (1934) (Lour.) Merr. 1934
40,arctostaphylos uva-ursi,1024084-2,Arctostaphylos uva-ursi,Arctostaphylos uva-ursi (L.) Spreng.,Ericaceae,Species,Arctostaphylos uva-ursi,Arctostaphylos uva-ursi (L.) Spreng.,1024084-2,Arctostaphylos,2647407,Accepted,direct_wcvp_unique,Arctostaphylos uva-ursi
41,sauromatum venosum,88690-1,Sauromatum venosum,Sauromatum venosum (Aiton) Kunth,Araceae,Species,Sauromatum venosum,Sauromatum venosum (Aiton) Kunth,88690-1,Sauromatum,186383,Accepted,direct_wcvp_unique,Sauromatum venosum
42,elymus repens,90320-2,Elymus repens,Elymus repens (L.) Gould,Poaceae,Species,Elymus repens,Elymus repens (L.) Gould,90320-2,Elymus,411505,Accepted,direct_wcvp_unique,Elymus repens
43,valeriana officinalis l,860012-1,Valeriana officinalis,Valeriana officinalis L.,Caprifoliaceae,Species,Valeriana officinalis,Valeriana officinalis L.,860012-1,Valeriana,2464616,Accepted,direct_wcvp_w_author_unique,Valeriana officinalis L.
44,lycium barbarum,816356-1,Lycium barbarum,Lycium barbarum L.,Solanaceae,Species,Lycium barbarum,Lycium barbarum L.,816356-1,Lycium,2499019,Accepted,direct_wcvp,Lycium barbarum
45,berberis koreana palib,106819-1,Berberis koreana,Berberis koreana Palib.,Berberidaceae,Species,Berberis koreana,Berberis koreana Palib.,106819-1,Berberis,2674019,Accepted,direct_wcvp_w_author_unique,Berberis koreana Palib.
46,chelidonium majus,303589-2,Chelidonium majus,Chelidonium majus L.,Papaveraceae,Species,Chelidonium majus,Chelidonium majus L.,303589-2,Chelidonium,2716702,Accepted,direct_wcvp_unique,Chelidonium majus
47,vernonia amygdalina,210886-1,Gymnanthemum amygdalinum,Gymnanthemum amygdalinum (Delile) Sch.Bip.,Asteraceae,Species,Gymnanthemum amygdalinum,Gymnanthemum amygdalinum (Delile) Sch.Bip.,210886-1,Gymnanthemum,3055640,Synonym,direct_wcvp_unique,Vernonia amygdalina
49,lavandula officinalis,77171433-1,Lavandula angustifolia subsp. angustifolia,Lavandula angustifolia subsp. angustifolia,Lamiaceae,Subspecies,Lavandula angustifolia,Lavandula angustifolia Mill.,449008-1,Lavandula angustifolia,109056,Synonym,direct_wcvp_unique,Lavandula officinalis
51,senecio candicans,244324-1,Senecio candicans,Senecio candicans Wall. ex DC.,Asteraceae,Species,Senecio candicans,Senecio candicans Wall. ex DC.,244324-1,Senecio,3080451,Accepted,direct_wcvp,Senecio candicans
52,atropa belladonna,814358-1,Atropa bella-donna,Atropa bella-donna L.,Solanaceae,Species,Atropa bella-donna,Atropa bella-donna L.,814358-1,Atropa,2665943,Accepted,knms_single,Atropa bella-donna Sp. Pl.: 181 (1753) L. 1753
53,equisetum arvense,300073-2,Equisetum arvense,Equisetum arvense L.,Equisetaceae,Species,Equisetum arvense,Equisetum arvense L.,300073-2,Equisetum,2910663,Accepted,direct_wcvp_unique,Equisetum arvense
54,scrophularia grossheimii schischkin,809599-1,Scrophularia versicolor,Scrophularia versicolor Boiss.,Scrophulariaceae,Species,Scrophularia versicolor,Scrophularia versicolor Boiss.,809599-1,Scrophularia,2586242,Synonym,autoresolution,Scrophularia grossheimii
57,ferula assafoetida l,842190-1,Ferula assa-foetida,Ferula assa-foetida L.,Apiaceae,Species,Ferula assa-foetida,Ferula assa-foetida L.,842190-1,Ferula,2808328,Accepted,knms_single,Ferula assa-foetida Sp. Pl.: 248 (1753) L. 1753
59,coptis japonica (thunb. )makino,710316-1,Coptis japonica,Coptis japonica (Thunb.) Makino,Ranunculaceae,Species,Coptis japonica,Coptis japonica (Thunb.) Makino,710316-1,Coptis,2736112,Accepted,knms_single,Coptis japonica Bot. Mag. (Tokyo) 13: 198 (1899) (Thunb.) Makino 1899
62,aloe vera,530017-1,Aloe vera,Aloe vera (L.) Burm.f.,Asphodelaceae,Species,Aloe vera,Aloe vera (L.) Burm.f.,530017-1,Aloe,298116,Accepted,direct_wcvp,Aloe vera
63,rumex rupestris le gall,697469-1,Rumex rupestris,Rumex rupestris Le Gall,Polygonaceae,Species,Rumex rupestris,Rumex rupestris Le Gall,697469-1,Rumex,2424782,Accepted,direct_wcvp_w_author_unique,Rumex rupestris Le Gall
64,veronica officinalis,812402-1,Veronica officinalis,Veronica officinalis L.,Plantaginaceae,Species,Veronica officinalis,Veronica officinalis L.,812402-1,Veronica,2463283,Accepted,direct_wcvp_unique,Veronica officinalis
65,coptis chinensis franch,710313-1,Coptis chinensis,Coptis chinensis Franch.,Ranunculaceae,Species,Coptis chinensis,Coptis chinensis Franch.,710313-1,Coptis,2736105,Accepted,direct_wcvp_w_author_unique,Coptis chinensis Franch.
66,mahonia fortunei (lindl. )fedde,106663-1,Berberis fortunei,Berberis fortunei Lindl.,Berberidaceae,Species,Berberis fortunei,Berberis fortunei Lindl.,106663-1,Berberis,2358498,Synonym,knms_single,Mahonia fortunei Bot. Jahrb. Syst. 31: 130 (1901) (Lindl.) Fedde 1901
67,berberis actinacantha mart,106382-1,Berberis actinacantha,Berberis actinacantha Mart. ex Schult. & Schult.f.,Berberidaceae,Species,Berberis actinacantha,Berberis actinacantha Mart. ex Schult. & Schult.f.,106382-1,Berberis,2673364,Accepted,autoresolution,Berberis actinacantha
68,catharanthus roseus,77880-1,Catharanthus roseus,Catharanthus roseus (L.) G.Don,Apocynaceae,Species,Catharanthus roseus,Catharanthus roseus (L.) G.Don,77880-1,Catharanthus,35719,Accepted,direct_wcvp_unique,Catharanthus roseus
70,salvia haenkei,456337-1,Salvia haenkei,Salvia haenkei Benth.,Lamiaceae,Species,Salvia haenkei,Salvia haenkei Benth.,456337-1,Salvia,182777,Accepted,direct_wcvp_unique,Salvia haenkei
72,berberis libanotica ehrenb. exc. k. schneid,60450141-2,Berberis libanotica,Berberis libanotica Ehrenb. ex C.K.Schneid.,Berberidaceae,Species,Berberis libanotica,Berberis libanotica Ehrenb. ex C.K.Schneid.,60450141-2,Berberis,2674059,Accepted,knms_single,Berberis libanotica Ill. Handb. Laubholzk. 1: 310 (1905) Ehrenb. ex C.K.Schneid. 1905
73,eryngium cymosum f. delaroche,841746-1,Eryngium cymosum,Eryngium cymosum F.Delaroche,Apiaceae,Species,Eryngium cymosum,Eryngium cymosum F.Delaroche,841746-1,Eryngium,2799215,Accepted,autoresolution,Eryngium cymosum
74,scrophularia nodosa l,30088899-2,Scrophularia nodosa,Scrophularia nodosa L.,Scrophulariaceae,Species,Scrophularia nodosa,Scrophularia nodosa L.,30088899-2,Scrophularia,2587382,Accepted,direct_wcvp_w_author_unique,Scrophularia nodosa L.
75,matricaria recutita,154715-2,Matricaria chamomilla,Matricaria chamomilla L.,Asteraceae,Species,Matricaria chamomilla,Matricaria chamomilla L.,154715-2,Matricaria,2906537,Synonym,direct_wcvp_unique,Matricaria recutita
76,annona reticulata,72295-1,Annona reticulata,Annona reticulata L.,Annonaceae,Species,Annona reticulata,Annona reticulata L.,72295-1,Annona,2640996,Accepted,direct_wcvp,Annona reticulata
77,artemisia annua,304416-2,Artemisia annua,Artemisia annua L.,Asteraceae,Species,Artemisia annua,Artemisia annua L.,304416-2,Artemisia,2901442,Accepted,direct_wcvp,Artemisia annua
78,tussilago farfara l,256904-1,Tussilago farfara,Tussilago farfara L.,Asteraceae,Species,Tussilago farfara,Tussilago farfara L.,256904-1,Tussilago,2901763,Accepted,direct_wcvp_w_author_unique,Tussilago farfara L.
79,berberis pseudumbellata r.parker,107014-1,Berberis pseudumbellata,Berberis pseudumbellata R.Parker,Berberidaceae,Species,Berberis pseudumbellata,Berberis pseudumbellata R.Parker,107014-1,Berberis,2674336,Accepted,direct_wcvp_w_author_unique,Berberis pseudumbellata R.Parker
80,allium sativum,528796-1,Allium sativum,Allium sativum L.,Amaryllidaceae,Species,Allium sativum,Allium sativum L.,528796-1,Allium,296499,Accepted,direct_wcvp_unique,Allium sativum
81,sideritis raeseri boiss & heldr. subsp. raeseri,77171935-1,Sideritis raeseri subsp. raeseri,Sideritis raeseri subsp. raeseri,Lamiaceae,Subspecies,Sideritis raeseri,Sideritis raeseri Boiss. & Heldr.,459065-1,Sideritis raeseri,191597,Accepted,knms_single,Sideritis raeseri subsp. raeseri
82,quassia amara,814006-1,Quassia amara,Quassia amara L.,Simaroubaceae,Species,Quassia amara,Quassia amara L.,814006-1,Quassia,2868415,Accepted,direct_wcvp_unique,Quassia amara
84,argemone alba f. lestib,18816-2,Argemone mexicana,Argemone mexicana L.,Papaveraceae,Species,Argemone mexicana,Argemone mexicana L.,18816-2,Argemone,2650463,Synonym,autoresolution,Argemone alba
85,berberis aquifolium pursh,31334-2,Berberis aquifolium,Berberis aquifolium Pursh,Berberidaceae,Species,Berberis aquifolium,Berberis aquifolium Pursh,31334-2,Berberis,2673426,Accepted,direct_wcvp_w_author_unique,Berberis aquifolium Pursh
89,capparis orientalis veill,77249506-1,Capparis spinosa subsp. rupestris,Capparis spinosa subsp. rupestris (Sm.) Nyman,Capparaceae,Subspecies,Capparis spinosa,Capparis spinosa L.,146789-1,Capparis spinosa,2697418,Synonym,direct_wcvp_w_author_unique,Capparis orientalis Veill.
90,curcuma longa,796451-1,Curcuma longa,Curcuma longa L.,Zingiberaceae,Species,Curcuma longa,Curcuma longa L.,796451-1,Curcuma,235249,Accepted,direct_wcvp_unique,Curcuma longa
91,achillea crithmifolia waldst. & kit,173918-1,Achillea crithmifolia,Achillea crithmifolia Waldst. & Kit.,Asteraceae,Species,Achillea crithmifolia,Achillea crithmifolia Waldst. & Kit.,173918-1,Achillea,3109769,Accepted,direct_wcvp_w_author_unique,Achillea crithmifolia Waldst. & Kit.
92,cassia angustifolia,77208460-1,Senna alexandrina var. alexandrina,Senna alexandrina var. alexandrina,Fabaceae,Variety,Senna alexandrina,Senna alexandrina Mill.,518323-1,Senna alexandrina,2702646,Synonym,direct_wcvp_unique,Cassia angustifolia
93,berberis lycium royle,106865-1,Berberis lycium,Berberis lycium Royle,Berberidaceae,Species,Berberis lycium,Berberis lycium Royle,106865-1,Berberis,2674093,Accepted,direct_wcvp_w_author_unique,Berberis lycium Royle
94,hypericum hircinum subsp. majus,924265-1,Hypericum hircinum subsp. majus,Hypericum hircinum subsp. majus (Aiton) N.Robson,Hypericaceae,Subspecies,Hypericum hircinum,Hypericum hircinum L.,433491-1,Hypericum hircinum,515620,Accepted,direct_wcvp_unique,Hypericum hircinum subsp. majus
95,urtica dioica l,260630-2,Urtica dioica,Urtica dioica L.,Urticaceae,Species,Urtica dioica,Urtica dioica L.,260630-2,Urtica,2448560,Accepted,direct_wcvp_w_author_unique,Urtica dioica L.
96,turnera aphrodisiaca,836578-1,Turnera diffusa,Turnera diffusa Willd. ex Schult.,Passifloraceae,Species,Turnera diffusa,Turnera diffusa Willd. ex Schult.,836578-1,Turnera,2519416,Synonym,direct_wcvp_unique,Turnera aphrodisiaca
97,centaurea ragusina l,191406-1,Centaurea ragusina,Centaurea ragusina L.,Asteraceae,Species,Centaurea ragusina,Centaurea ragusina L.,191406-1,Centaurea,3049113,Accepted,direct_wcvp_w_author_unique,Centaurea ragusina L.
98,sesamum indicum,675971-1,Sesamum indicum,Sesamum indicum L.,Pedaliaceae,Species,Sesamum indicum,Sesamum indicum L.,675971-1,Sesamum,2588550,Accepted,direct_wcvp_unique,Sesamum indicum
100,sorbus arranensis,77164896-1,Hedlundia arranensis,Hedlundia arranensis (Hedl.) Sennikov & Kurtto,Rosaceae,Species,Hedlundia arranensis,Hedlundia arranensis (Hedl.) Sennikov & Kurtto,77164896-1,Hedlundia,2991548,Synonym,direct_wcvp_unique,Sorbus arranensis
101,equisetum myriochaetum,77060052-1,Equisetum myriochaetum,Equisetum myriochaetum Schltdl. & Cham.,Equisetaceae,Species,Equisetum myriochaetum,Equisetum myriochaetum Schltdl. & Cham.,77060052-1,Equisetum,3137125,Accepted,direct_wcvp_unique,Equisetum myriochaetum
102,berberis umbellata wall. ex g.don,107163-1,Berberis umbellata,Berberis umbellata Wall. ex G.Don,Berberidaceae,Species,Berberis umbellata,Berberis umbellata Wall. ex G.Don,107163-1,Berberis,2674567,Accepted,direct_wcvp_w_author_unique,Berberis umbellata Wall. ex G.Don
104,tilia cordata mill,835277-1,Tilia cordata,Tilia cordata Mill.,Malvaceae,Species,Tilia cordata,Tilia cordata Mill.,835277-1,Tilia,2518181,Accepted,direct_wcvp_w_author_unique,Tilia cordata Mill.
105,viola tricolor l,869428-1,Viola tricolor,Viola tricolor L.,Violaceae,Species,Viola tricolor,Viola tricolor L.,869428-1,Viola,2461201,Accepted,direct_wcvp_w_author_unique,Viola tricolor L.
107,taraxacum officinale,254151-1,Taraxacum sect. Taraxacum,Taraxacum sect. Taraxacum F.H.Wigg.,Asteraceae,Species,Taraxacum sect. Taraxacum,Taraxacum sect. Taraxacum F.H.Wigg.,254151-1,Taraxacum,3137644,Synonym,direct_wcvp_unique,Taraxacum officinale
108,centaurea cyanus,190310-1,Centaurea cyanus,Centaurea cyanus L.,Asteraceae,Species,Centaurea cyanus,Centaurea cyanus L.,190310-1,Centaurea,2926089,Accepted,direct_wcvp_unique,Centaurea cyanus
109,citrullus colocynthis,291930-1,Citrullus colocynthis,Citrullus colocynthis (L.) Schrad.,Cucurbitaceae,Species,Citrullus colocynthis,Citrullus colocynthis (L.) Schrad.,291930-1,Citrullus,2723897,Accepted,direct_wcvp_unique,Citrullus colocynthis
110,achillea millefolium l,2294-2,Achillea millefolium,Achillea millefolium L.,Asteraceae,Species,Achillea millefolium,Achillea millefolium L.,2294-2,Achillea,2908230,Accepted,direct_wcvp_w_author_unique,Achillea millefolium L.
111,erythroxylum coca,330132-2,Erythroxylum coca,Erythroxylum coca Lam.,Erythroxylaceae,Species,Erythroxylum coca,Erythroxylum coca Lam.,330132-2,Erythroxylum,2801328,Accepted,direct_wcvp_unique,Erythroxylum coca
112,jeffersonia diphylla (l.) pers,1187336-2,Jeffersonia diphylla,Jeffersonia diphylla (L.) Pers.,Berberidaceae,Species,Jeffersonia diphylla,Jeffersonia diphylla (L.) Pers.,1187336-2,Jeffersonia,2332915,Accepted,direct_wcvp_w_author_unique,Jeffersonia diphylla (L.) Pers.
114,tapinanthus globiferus,551928-1,Tapinanthus globifer,Tapinanthus globifer (A.Rich.) Tiegh.,Loranthaceae,Species,Tapinanthus globifer,Tapinanthus globifer (A.Rich.) Tiegh.,551928-1,Tapinanthus,2441840,Accepted,openrefine_unique,Loranthaceae Tapinanthus globifer (A.Rich.) Tiegh.
117,ajuga laxmannii,444609-1,Ajuga laxmannii,Ajuga laxmannii (L.) Benth.,Lamiaceae,Species,Ajuga laxmannii,Ajuga laxmannii (L.) Benth.,444609-1,Ajuga,5308,Accepted,direct_wcvp_unique,Ajuga laxmannii
118,berberis tinctoria lesch,107137-1,Berberis tinctoria,Berberis tinctoria Lesch.,Berberidaceae,Species,Berberis tinctoria,Berberis tinctoria Lesch.,107137-1,Berberis,2674529,Accepted,direct_wcvp_w_author_unique,Berberis tinctoria Lesch.
119,ocimum tenuiflorum,453130-1,Ocimum tenuiflorum,Ocimum tenuiflorum L.,Lamiaceae,Species,Ocimum tenuiflorum,Ocimum tenuiflorum L.,453130-1,Ocimum,137105,Accepted,direct_wcvp_unique,Ocimum tenuiflorum
121,berberis vulgaris l,328527-2,Berberis vulgaris,Berberis vulgaris L.,Berberidaceae,Species,Berberis vulgaris,Berberis vulgaris L.,328527-2,Berberis,2674612,Accepted,direct_wcvp_w_author_unique,Berberis vulgaris L.
122,camellia sinensis,828548-1,Camellia sinensis,Camellia sinensis (L.) Kuntze,Theaceae,Species,Camellia sinensis,Camellia sinensis (L.) Kuntze,828548-1,Camellia,2694880,Accepted,direct_wcvp_unique,Camellia sinensis
123,macleaya cordata (willd. )r.br,673258-1,Macleaya cordata,Macleaya cordata (Willd.) R.Br.,Papaveraceae,Species,Macleaya cordata,Macleaya cordata (Willd.) R.Br.,673258-1,Macleaya,2502545,Accepted,knms_single,Macleaya cordata Narr. Travels Africa: 218 (1826) (Willd.) R.Br. 1826
124,thymus serpyllum l,30066276-2,Thymus serpyllum,Thymus serpyllum L.,Lamiaceae,Species,Thymus serpyllum,Thymus serpyllum L.,30066276-2,Thymus,205442,Accepted,direct_wcvp_w_author_unique,Thymus serpyllum L.
125,mahonia napaulensis dc,60461528-2,Berberis napaulensis,Berberis napaulensis (DC.) Spreng.,Berberidaceae,Species,Berberis napaulensis,Berberis napaulensis (DC.) Spreng.,60461528-2,Berberis,2359291,Synonym,direct_wcvp_w_author_unique,Mahonia napaulensis DC.
126,nigella sativa l,711687-1,Nigella sativa,Nigella sativa L.,Ranunculaceae,Species,Nigella sativa,Nigella sativa L.,711687-1,Nigella,2381679,Accepted,direct_wcvp_w_author_unique,Nigella sativa L.
127,shorea roxburghii,77217927-1,Anthoshorea roxburghii,Anthoshorea roxburghii (G.Don) P.S.Ashton & J.Heck.,Dipterocarpaceae,Species,Anthoshorea roxburghii,Anthoshorea roxburghii (G.Don) P.S.Ashton & J.Heck.,77217927-1,Anthoshorea,2592562,Synonym,direct_wcvp_unique,Shorea roxburghii
129,tinospora cordifolia(willd.) miers,907828-1,Tinospora cordifolia,Tinospora cordifolia (Willd.) Hook.f. & Thomson,Menispermaceae,Species,Tinospora cordifolia,Tinospora cordifolia (Willd.) Hook.f. & Thomson,907828-1,Tinospora,2517090,Accepted,knms_single,Tinospora cordifolia Fl. Ind. 1: 184 (1855) (Willd.) Hook.f. & Thomson 1855
130,combretum collinum fresen,170004-1,Combretum collinum,Combretum collinum Fresen.,Combretaceae,Species,Combretum collinum,Combretum collinum Fresen.,170004-1,Combretum,2732500,Accepted,direct_wcvp_w_author_unique,Combretum collinum Fresen.
131,coptis teeta wall,710326-1,Coptis teeta,Coptis teeta Wall.,Ranunculaceae,Species,Coptis teeta,Coptis teeta Wall.,710326-1,Coptis,2736135,Accepted,direct_wcvp_w_author_unique,Coptis teeta Wall.
133,berberis aristata dc,106427-1,Berberis aristata,Berberis aristata DC.,Berberidaceae,Species,Berberis aristata,Berberis aristata DC.,106427-1,Berberis,2673438,Accepted,direct_wcvp_w_author_unique,Berberis aristata DC.
134,silybum marianum,249211-1,Silybum marianum,Silybum marianum (L.) Gaertn.,Asteraceae,Species,Silybum marianum,Silybum marianum (L.) Gaertn.,249211-1,Silybum,2901907,Accepted,direct_wcvp_unique,Silybum marianum
135,achillea moschata wulfen,876363-1,Achillea erba-rotta subsp. moschata,Achillea erba-rotta subsp. moschata (Wulfen) Vacc.,Asteraceae,Subspecies,Achillea erba-rotta,Achillea erba-rotta All.,50869252-1,Achillea erba-rotta,3109908,Synonym,direct_wcvp_w_author_unique,Achillea moschata Wulfen
136,scrophularia oldhamii oliv,77227845-1,Scrophularia buergeriana var. buergeriana,Scrophularia buergeriana var. buergeriana,Scrophulariaceae,Variety,Scrophularia buergeriana,Scrophularia buergeriana Miq.,809070-1,Scrophularia buergeriana,2587238,Synonym,direct_wcvp_w_author_unique,Scrophularia oldhamii Oliv.
138,juniperus communis,30088655-2,Juniperus communis,Juniperus communis L.,Cupressaceae,Species,Juniperus communis,Juniperus communis L.,30088655-2,Juniperus,377427,Accepted,direct_wcvp,Juniperus communis
139,argemone albiflora hornem,671680-1,Argemone albiflora,Argemone albiflora Hornem.,Papaveraceae,Species,Argemone albiflora,Argemone albiflora Hornem.,671680-1,Argemone,2650467,Accepted,direct_wcvp_w_author_unique,Argemone albiflora Hornem.
140,malva sylvestris l,561932-1,Malva sylvestris,Malva sylvestris L.,Malvaceae,Species,Malva sylvestris,Malva sylvestris L.,561932-1,Malva,2504118,Accepted,direct_wcvp_w_author_unique,Malva sylvestris L.
141,prunus spinosa,730297-1,Prunus spinosa,Prunus spinosa L.,Rosaceae,Species,Prunus spinosa,Prunus spinosa L.,730297-1,Prunus,2921969,Accepted,direct_wcvp,Prunus spinosa
