,name,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_parent,plant_name_id,taxon_status,matched_by,matched_name
26,chasmanthera dependens hoechst,580270-1,Chasmanthera dependens,Chasmanthera dependens Hochst.,Menispermaceae,Species,Chasmanthera dependens,Chasmanthera dependens Hochst.,580270-1,Chasmanthera,2715956,Accepted,autoresolution,Chasmanthera dependens
27,eucommia ulmoides,554475-1,Eucommia ulmoides,Eucommia ulmoides Oliv.,Eucommiaceae,Species,Eucommia ulmoides,Eucommia ulmoides Oliv.,554475-1,Eucommia,514395,Accepted,direct_wcvp_unique,Eucommia ulmoides
28,allium cepa,527795-1,Allium cepa,Allium cepa L.,Amaryllidaceae,Species,Allium cepa,Allium cepa L.,527795-1,Allium,295261,Accepted,direct_wcvp_unique,Allium cepa
29,ephedra sinica,383460-1,Ephedra sinica,Ephedra sinica Stapf,Ephedraceae,Species,Ephedra sinica,Ephedra sinica Stapf,383460-1,Ephedra,333041,Accepted,direct_wcvp_unique,Ephedra sinica
32,apium graveolens,838067-1,Apium graveolens,Apium graveolens L.,Apiaceae,Species,Apium graveolens,Apium graveolens L.,838067-1,Apium,2644053,Accepted,direct_wcvp,Apium graveolens
34,ceratonia siliqua,485647-1,Ceratonia siliqua,Ceratonia siliqua L.,Fabaceae,Species,Ceratonia siliqua,Ceratonia siliqua L.,485647-1,Ceratonia,2711136,Accepted,direct_wcvp_unique,Ceratonia siliqua
37,berberis pseudumbellata r.parker,107014-1,Berberis pseudumbellata,Berberis pseudumbellata R.Parker,Berberidaceae,Species,Berberis pseudumbellata,Berberis pseudumbellata R.Parker,107014-1,Berberis,2674336,Accepted,direct_wcvp_w_author_unique,Berberis pseudumbellata R.Parker
39,armoracia rusticana,278747-1,Armoracia rusticana,"Armoracia rusticana G.Gaertn., B.Mey. & Scherb.",Brassicaceae,Species,Armoracia rusticana,"Armoracia rusticana G.Gaertn., B.Mey. & Scherb.",278747-1,Armoracia,2652952,Accepted,direct_wcvp_unique,Armoracia rusticana
41,linum usitatissimum,544772-1,Linum usitatissimum,Linum usitatissimum L.,Linaceae,Species,Linum usitatissimum,Linum usitatissimum L.,544772-1,Linum,2353429,Accepted,direct_wcvp_unique,Linum usitatissimum
43,mahonia repens,31531-2,Berberis repens,Berberis repens Lindl.,Berberidaceae,Species,Berberis repens,Berberis repens Lindl.,31531-2,Berberis,2359304,Synonym,direct_wcvp_unique,Mahonia repens
44,forsythia suspensa,608900-1,Forsythia suspensa,Forsythia suspensa (Thunb.) Vahl,Oleaceae,Species,Forsythia suspensa,Forsythia suspensa (Thunb.) Vahl,608900-1,Forsythia,369441,Accepted,direct_wcvp_unique,Forsythia suspensa
45,acacia senegal,518304-1,Senegalia senegal,Senegalia senegal (L.) Britton,Fabaceae,Species,Senegalia senegal,Senegalia senegal (L.) Britton,518304-1,Senegalia,2613788,Synonym,direct_wcvp_unique,Acacia senegal
46,carica papaya,30011248-2,Carica papaya,Carica papaya L.,Caricaceae,Species,Carica papaya,Carica papaya L.,30011248-2,Carica,2700919,Accepted,direct_wcvp_unique,Carica papaya
47,matricaria recuitita,154715-2,Matricaria chamomilla,Matricaria chamomilla L.,Asteraceae,Species,Matricaria chamomilla,Matricaria chamomilla L.,154715-2,Matricaria,2906537,Synonym,openrefine_unique,Asteraceae Matricaria recutita L.
51,annickia polycarpa (dc. )setten & maas ex i.m.turner,77116323-1,Annickia polycarpa,Annickia polycarpa (DC.) Setten & Maas ex I.M.Turner,Annonaceae,Species,Annickia polycarpa,Annickia polycarpa (DC.) Setten & Maas ex I.M.Turner,77116323-1,Annickia,2640766,Accepted,knms_single,Annickia polycarpa Phytotaxa 32: 52 (2011) (DC.) Setten & Maas ex I.M.Turner 2011
53,scrophularia lucida,809316-1,Scrophularia lucida,Scrophularia lucida L.,Scrophulariaceae,Species,Scrophularia lucida,Scrophularia lucida L.,809316-1,Scrophularia,2587278,Accepted,direct_wcvp,Scrophularia lucida
55,duboisia myoporoides,815656-1,Duboisia myoporoides,Duboisia myoporoides R.Br.,Solanaceae,Species,Duboisia myoporoides,Duboisia myoporoides R.Br.,815656-1,Duboisia,2778803,Accepted,direct_wcvp_unique,Duboisia myoporoides
56,urechites suberecta,942487-1,Pentalinon luteum,Pentalinon luteum (L.) B.F.Hansen & Wunderlin,Apocynaceae,Species,Pentalinon luteum,Pentalinon luteum (L.) B.F.Hansen & Wunderlin,942487-1,Pentalinon,210989,Synonym,knms_single,Urechites suberectus Linnaea 30: 444 (1860) (Jacq.) Müll.Arg. 1860
57,elymus repens,90320-2,Elymus repens,Elymus repens (L.) Gould,Poaceae,Species,Elymus repens,Elymus repens (L.) Gould,90320-2,Elymus,411505,Accepted,direct_wcvp_unique,Elymus repens
58,colchicum autumnale,533232-1,Colchicum autumnale,Colchicum autumnale L.,Colchicaceae,Species,Colchicum autumnale,Colchicum autumnale L.,533232-1,Colchicum,302771,Accepted,direct_wcvp_unique,Colchicum autumnale
59,allium sativum,528796-1,Allium sativum,Allium sativum L.,Amaryllidaceae,Species,Allium sativum,Allium sativum L.,528796-1,Allium,296499,Accepted,direct_wcvp_unique,Allium sativum
60,caulophyllum thalictroides,1056122-2,Caulophyllum thalictroides,Caulophyllum thalictroides (L.) Michx.,Berberidaceae,Species,Caulophyllum thalictroides,Caulophyllum thalictroides (L.) Michx.,1056122-2,Caulophyllum,2706078,Accepted,direct_wcvp,Caulophyllum thalictroides
62,vaccinium macrocarpum,261912-2,Vaccinium macrocarpon,Vaccinium macrocarpon Aiton,Ericaceae,Species,Vaccinium macrocarpon,Vaccinium macrocarpon Aiton,261912-2,Vaccinium,2457729,Accepted,knms_single,Vaccinium macrocarpon Hort. Kew. 2: 13 (1789) Aiton 1789
63,equisetum myriochaetum,77060052-1,Equisetum myriochaetum,Equisetum myriochaetum Schltdl. & Cham.,Equisetaceae,Species,Equisetum myriochaetum,Equisetum myriochaetum Schltdl. & Cham.,77060052-1,Equisetum,3137125,Accepted,direct_wcvp_unique,Equisetum myriochaetum
65,berberis tinctoria lesch,107137-1,Berberis tinctoria,Berberis tinctoria Lesch.,Berberidaceae,Species,Berberis tinctoria,Berberis tinctoria Lesch.,107137-1,Berberis,2674529,Accepted,direct_wcvp_w_author_unique,Berberis tinctoria Lesch.
66,scutellaria lateriflora,458402-1,Scutellaria lateriflora,Scutellaria lateriflora L.,Lamiaceae,Species,Scutellaria lateriflora,Scutellaria lateriflora L.,458402-1,Scutellaria,189301,Accepted,direct_wcvp_unique,Scutellaria lateriflora
68,argemone platyceras l,671713-1,Argemone platyceras,Argemone platyceras Link & Otto,Papaveraceae,Species,Argemone platyceras,Argemone platyceras Link & Otto,671713-1,Argemone,2650548,Accepted,knms_single,Argemone platyceras Icon. Pl. Rar. 1: 58 (1829) Link & Otto 1829
70,levisticum officinale,844187-1,Levisticum officinale,Levisticum officinale W.D.J.Koch,Apiaceae,Species,Levisticum officinale,Levisticum officinale W.D.J.Koch,844187-1,Levisticum,2341672,Accepted,direct_wcvp_unique,Levisticum officinale
71,polygala senega,283498-2,Polygala senega,Polygala senega L.,Polygalaceae,Species,Polygala senega,Polygala senega L.,283498-2,Polygala,2573250,Accepted,direct_wcvp_unique,Polygala senega
72,pausinystalia yohimbe,747599-1,Corynanthe johimbe,Corynanthe johimbe K.Schum.,Rubiaceae,Species,Corynanthe johimbe,Corynanthe johimbe K.Schum.,747599-1,Corynanthe,148191,Synonym,knms_single,Pausinystalia johimbe Actes Soc. Linn. Bordeaux 61: 130 (1906) (K.Schum.) Pierre 1906
74,ulmus rubra,306680-2,Ulmus rubra,Ulmus rubra Muhl.,Ulmaceae,Species,Ulmus rubra,Ulmus rubra Muhl.,306680-2,Ulmus,2448805,Accepted,direct_wcvp_unique,Ulmus rubra
77,chelidonium majus,303589-2,Chelidonium majus,Chelidonium majus L.,Papaveraceae,Species,Chelidonium majus,Chelidonium majus L.,303589-2,Chelidonium,2716702,Accepted,direct_wcvp_unique,Chelidonium majus
78,filipendula ulmaria,724943-1,Filipendula ulmaria,Filipendula ulmaria (L.) Maxim.,Rosaceae,Species,Filipendula ulmaria,Filipendula ulmaria (L.) Maxim.,724943-1,Filipendula,2921975,Accepted,direct_wcvp_unique,Filipendula ulmaria
79,ocimum vaalae,445902-1,Coleus amboinicus,Coleus amboinicus Lour.,Lamiaceae,Species,Coleus amboinicus,Coleus amboinicus Lour.,445902-1,Coleus,137130,Synonym,direct_wcvp_unique,Ocimum vaalae
81,thymus vulgaris,461765-1,Thymus vulgaris,Thymus vulgaris L.,Lamiaceae,Species,Thymus vulgaris,Thymus vulgaris L.,461765-1,Thymus,205645,Accepted,direct_wcvp_unique,Thymus vulgaris
90,berberis vulgaris l,328527-2,Berberis vulgaris,Berberis vulgaris L.,Berberidaceae,Species,Berberis vulgaris,Berberis vulgaris L.,328527-2,Berberis,2674612,Accepted,direct_wcvp_w_author_unique,Berberis vulgaris L.
93,aloe vera,530017-1,Aloe vera,Aloe vera (L.) Burm.f.,Asphodelaceae,Species,Aloe vera,Aloe vera (L.) Burm.f.,530017-1,Aloe,298116,Accepted,direct_wcvp,Aloe vera
95,prunus persica,1212858-2,Prunus persica,Prunus persica (L.) Batsch,Rosaceae,Species,Prunus persica,Prunus persica (L.) Batsch,1212858-2,Prunus,2901279,Accepted,direct_wcvp_unique,Prunus persica
97,nasturtium officinale,287534-1,Nasturtium officinale,Nasturtium officinale W.T.Aiton,Brassicaceae,Species,Nasturtium officinale,Nasturtium officinale W.T.Aiton,287534-1,Nasturtium,2381026,Accepted,direct_wcvp_unique,Nasturtium officinale
98,verbascum thapsus,770183-1,Verbascum thapsus,Verbascum thapsus L.,Scrophulariaceae,Species,Verbascum thapsus,Verbascum thapsus L.,770183-1,Verbascum,2453334,Accepted,direct_wcvp_unique,Verbascum thapsus
99,salvia officinalis,456833-1,Salvia officinalis,Salvia officinalis L.,Lamiaceae,Species,Salvia officinalis,Salvia officinalis L.,456833-1,Salvia,183353,Accepted,direct_wcvp_unique,Salvia officinalis
100,lycium chinense,816389-1,Lycium chinense,Lycium chinense Mill.,Solanaceae,Species,Lycium chinense,Lycium chinense Mill.,816389-1,Lycium,2496344,Accepted,direct_wcvp_unique,Lycium chinense
101,glycyrrhiza glabra,496941-1,Glycyrrhiza glabra,Glycyrrhiza glabra L.,Fabaceae,Species,Glycyrrhiza glabra,Glycyrrhiza glabra L.,496941-1,Glycyrrhiza,2827728,Accepted,direct_wcvp_unique,Glycyrrhiza glabra
105,cannabis sativa,306087-2,Cannabis sativa,Cannabis sativa L.,Cannabaceae,Species,Cannabis sativa,Cannabis sativa L.,306087-2,Cannabis,2696480,Accepted,direct_wcvp_unique,Cannabis sativa
106,mentha spicata,451162-1,Mentha spicata,Mentha spicata L.,Lamiaceae,Species,Mentha spicata,Mentha spicata L.,451162-1,Mentha,125402,Accepted,direct_wcvp_unique,Mentha spicata
109,papaver dubium var. lecoquii,673488-1,Papaver dubium,Papaver dubium L.,Papaveraceae,Species,Papaver dubium,Papaver dubium L.,673488-1,Papaver,2560793,Accepted,autoresolution,Papaver dubium
112,monarda fistulosa,452042-1,Monarda fistulosa,Monarda fistulosa L.,Lamiaceae,Species,Monarda fistulosa,Monarda fistulosa L.,452042-1,Monarda,129185,Accepted,direct_wcvp_unique,Monarda fistulosa
113,mahonia fortunei (lindl. )fedde,106663-1,Berberis fortunei,Berberis fortunei Lindl.,Berberidaceae,Species,Berberis fortunei,Berberis fortunei Lindl.,106663-1,Berberis,2358498,Synonym,knms_single,Mahonia fortunei Bot. Jahrb. Syst. 31: 130 (1901) (Lindl.) Fedde 1901
114,arctostaphylos uva-ursi,1024084-2,Arctostaphylos uva-ursi,Arctostaphylos uva-ursi (L.) Spreng.,Ericaceae,Species,Arctostaphylos uva-ursi,Arctostaphylos uva-ursi (L.) Spreng.,1024084-2,Arctostaphylos,2647407,Accepted,direct_wcvp_unique,Arctostaphylos uva-ursi
115,plantago lanceolata,321285-2,Plantago lanceolata,Plantago lanceolata L.,Plantaginaceae,Species,Plantago lanceolata,Plantago lanceolata L.,321285-2,Plantago,2569834,Accepted,direct_wcvp_unique,Plantago lanceolata
116,vaccinium myrtillus,30006039-2,Vaccinium myrtillus,Vaccinium myrtillus L.,Ericaceae,Species,Vaccinium myrtillus,Vaccinium myrtillus L.,30006039-2,Vaccinium,2457648,Accepted,direct_wcvp_unique,Vaccinium myrtillus
118,trigonella foenum-graecum,523957-1,Trigonella foenum-graecum,Trigonella foenum-graecum L.,Fabaceae,Species,Trigonella foenum-graecum,Trigonella foenum-graecum L.,523957-1,Trigonella,2441407,Accepted,direct_wcvp_unique,Trigonella foenum-graecum
119,artemisia annua,304416-2,Artemisia annua,Artemisia annua L.,Asteraceae,Species,Artemisia annua,Artemisia annua L.,304416-2,Artemisia,2901442,Accepted,direct_wcvp,Artemisia annua
120,aesculus hippocastanum,781594-1,Aesculus hippocastanum,Aesculus hippocastanum L.,Sapindaceae,Species,Aesculus hippocastanum,Aesculus hippocastanum L.,781594-1,Aesculus,2624517,Accepted,direct_wcvp_unique,Aesculus hippocastanum
121,tsuga heterophylla,260297-2,Tsuga heterophylla,Tsuga heterophylla (Raf.) Sarg.,Pinaceae,Species,Tsuga heterophylla,Tsuga heterophylla (Raf.) Sarg.,260297-2,Tsuga,379395,Accepted,direct_wcvp_unique,Tsuga heterophylla
122,ilex paraguayensis,77231540-1,Ilex paraguariensis var. paraguariensis,Ilex paraguariensis var. paraguariensis,Aquifoliaceae,Variety,Ilex paraguariensis,Ilex paraguariensis A.St.-Hil.,315555-2,Ilex paraguariensis,2861241,Synonym,direct_wcvp_unique,Ilex paraguayensis
124,boswellia serrata,127067-1,Boswellia serrata,Boswellia serrata Roxb.,Burseraceae,Species,Boswellia serrata,Boswellia serrata Roxb.,127067-1,Boswellia,2680580,Accepted,direct_wcvp_unique,Boswellia serrata
125,coptis groenlandica,710328-1,Coptis trifolia,Coptis trifolia (L.) Salisb.,Ranunculaceae,Species,Coptis trifolia,Coptis trifolia (L.) Salisb.,710328-1,Coptis,2736111,Synonym,direct_wcvp_unique,Coptis groenlandica
126,nyssa aquatica,302695-2,Nyssa aquatica,Nyssa aquatica L.,Nyssaceae,Species,Nyssa aquatica,Nyssa aquatica L.,302695-2,Nyssa,136188,Accepted,direct_wcvp_unique,Nyssa aquatica
127,tanacetum parthenium,252460-1,Tanacetum parthenium,Tanacetum parthenium (L.) Sch.Bip.,Asteraceae,Species,Tanacetum parthenium,Tanacetum parthenium (L.) Sch.Bip.,252460-1,Tanacetum,2916972,Accepted,direct_wcvp_unique,Tanacetum parthenium
128,oenothera biennis,172755-2,Oenothera biennis,Oenothera biennis L.,Onagraceae,Species,Oenothera biennis,Oenothera biennis L.,172755-2,Oenothera,2399189,Accepted,direct_wcvp_unique,Oenothera biennis
130,ocimum basilicum,452874-1,Ocimum basilicum,Ocimum basilicum L.,Lamiaceae,Species,Ocimum basilicum,Ocimum basilicum L.,452874-1,Ocimum,136820,Accepted,direct_wcvp_unique,Ocimum basilicum
131,geranium maculatum,322491-2,Geranium maculatum,Geranium maculatum L.,Geraniaceae,Species,Geranium maculatum,Geranium maculatum L.,322491-2,Geranium,2823548,Accepted,direct_wcvp,Geranium maculatum
133,paullinia cupana,784110-1,Paullinia cupana,Paullinia cupana Kunth,Sapindaceae,Species,Paullinia cupana,Paullinia cupana Kunth,784110-1,Paullinia,2543056,Accepted,direct_wcvp_unique,Paullinia cupana
136,hedera helix,90723-1,Hedera helix,Hedera helix L.,Araliaceae,Species,Hedera helix,Hedera helix L.,90723-1,Hedera,96659,Accepted,direct_wcvp,Hedera helix
137,ammi visnaga,849956-1,Visnaga daucoides,Visnaga daucoides Gaertn.,Apiaceae,Species,Visnaga daucoides,Visnaga daucoides Gaertn.,849956-1,Visnaga,2633893,Synonym,direct_wcvp_unique,Ammi visnaga
138,oldfieldia dactylophylla (welw. ex oliv,352541-1,Oldfieldia dactylophylla,Oldfieldia dactylophylla (Welw. ex Oliv.) J.Léonard,Picrodendraceae,Species,Oldfieldia dactylophylla,Oldfieldia dactylophylla (Welw. ex Oliv.) J.Léonard,352541-1,Oldfieldia,138892,Accepted,knms_single,Oldfieldia dactylophylla Bull. Jard. Bot. État Bruxelles 26: 340 (1956) (Welw. ex Oliv.) J.Léonard 1956
139,saponaria officinalis,156627-1,Saponaria officinalis,Saponaria officinalis L.,Caryophyllaceae,Species,Saponaria officinalis,Saponaria officinalis L.,156627-1,Saponaria,2484914,Accepted,direct_wcvp_unique,Saponaria officinalis
140,veronica officinalis,812402-1,Veronica officinalis,Veronica officinalis L.,Plantaginaceae,Species,Veronica officinalis,Veronica officinalis L.,812402-1,Veronica,2463283,Accepted,direct_wcvp_unique,Veronica officinalis
142,artocarpus tonkinensis,582651-1,Artocarpus tonkinensis,Artocarpus tonkinensis A.Chev. ex Gagnep.,Moraceae,Species,Artocarpus tonkinensis,Artocarpus tonkinensis A.Chev. ex Gagnep.,582651-1,Artocarpus,2654101,Accepted,direct_wcvp_unique,Artocarpus tonkinensis
144,lavandula officinalis chaix,77171433-1,Lavandula angustifolia subsp. angustifolia,Lavandula angustifolia subsp. angustifolia,Lamiaceae,Subspecies,Lavandula angustifolia,Lavandula angustifolia Mill.,449008-1,Lavandula angustifolia,109056,Synonym,direct_wcvp_w_author_unique,Lavandula officinalis Chaix
145,olea europaea,610675-1,Olea europaea,Olea europaea L.,Oleaceae,Species,Olea europaea,Olea europaea L.,610675-1,Olea,355112,Accepted,direct_wcvp_unique,Olea europaea
146,origanum vulgare,453395-1,Origanum vulgare,Origanum vulgare L.,Lamiaceae,Species,Origanum vulgare,Origanum vulgare L.,453395-1,Origanum,143954,Accepted,direct_wcvp_unique,Origanum vulgare
149,ruta graveolens,775099-1,Ruta graveolens,Ruta graveolens L.,Rutaceae,Species,Ruta graveolens,Ruta graveolens L.,775099-1,Ruta,2527408,Accepted,direct_wcvp_unique,Ruta graveolens
152,nepeta cataria,452333-1,Nepeta cataria,Nepeta cataria L.,Lamiaceae,Species,Nepeta cataria,Nepeta cataria L.,452333-1,Nepeta,134509,Accepted,direct_wcvp_unique,Nepeta cataria
153,hibiscus sabdariffa,326388-2,Hibiscus sabdariffa,Hibiscus sabdariffa L.,Malvaceae,Species,Hibiscus sabdariffa,Hibiscus sabdariffa L.,326388-2,Hibiscus,2850461,Accepted,direct_wcvp_unique,Hibiscus sabdariffa
157,annickia chlorantha (oliv. )setten & maas,948442-1,Annickia chlorantha,Annickia chlorantha (Oliv.) Setten & Maas,Annonaceae,Species,Annickia chlorantha,Annickia chlorantha (Oliv.) Setten & Maas,948442-1,Annickia,2640759,Accepted,knms_single,Annickia chlorantha Taxon 39: 676 (1990) (Oliv.) Setten & Maas 1990
160,tanacetum vulgare,252568-1,Tanacetum vulgare,Tanacetum vulgare L.,Asteraceae,Species,Tanacetum vulgare,Tanacetum vulgare L.,252568-1,Tanacetum,2929189,Accepted,direct_wcvp_unique,Tanacetum vulgare
161,vicia faba,524737-1,Vicia faba,Vicia faba L.,Fabaceae,Species,Vicia faba,Vicia faba L.,524737-1,Vicia,2452318,Accepted,direct_wcvp_unique,Vicia faba
163,berberis aristata,106427-1,Berberis aristata,Berberis aristata DC.,Berberidaceae,Species,Berberis aristata,Berberis aristata DC.,106427-1,Berberis,2673438,Accepted,direct_wcvp_unique,Berberis aristata
164,leonurus cardiaca,449168-1,Leonurus cardiaca,Leonurus cardiaca L.,Lamiaceae,Species,Leonurus cardiaca,Leonurus cardiaca L.,449168-1,Leonurus,109505,Accepted,direct_wcvp_unique,Leonurus cardiaca
166,origanum onites,453331-1,Origanum onites,Origanum onites L.,Lamiaceae,Species,Origanum onites,Origanum onites L.,453331-1,Origanum,143884,Accepted,direct_wcvp_unique,Origanum onites
167,panax ginseng,91472-1,Panax ginseng,Panax ginseng C.A.Mey.,Araliaceae,Species,Panax ginseng,Panax ginseng C.A.Mey.,91472-1,Panax,146697,Accepted,direct_wcvp_unique,Panax ginseng
170,portulaca oleracea,323270-2,Portulaca oleracea,Portulaca oleracea L.,Portulacaceae,Species,Portulaca oleracea,Portulaca oleracea L.,323270-2,Portulaca,2566490,Accepted,direct_wcvp_unique,Portulaca oleracea
171,ageratina petiolaris,6986-2,Ageratina petiolaris,Ageratina petiolaris (Moc. & Sessé ex DC.) R.M.King & H.Rob.,Asteraceae,Species,Ageratina petiolaris,Ageratina petiolaris (Moc. & Sessé ex DC.) R.M.King & H.Rob.,6986-2,Ageratina,3127467,Accepted,direct_wcvp_unique,Ageratina petiolaris
172,punica granatum,554129-1,Punica granatum,Punica granatum L.,Lythraceae,Species,Punica granatum,Punica granatum L.,554129-1,Punica,2536844,Accepted,direct_wcvp_unique,Punica granatum
174,perilla frutescens,190343-2,Perilla frutescens,Perilla frutescens (L.) Britton,Lamiaceae,Species,Perilla frutescens,Perilla frutescens (L.) Britton,190343-2,Perilla,150299,Accepted,direct_wcvp_unique,Perilla frutescens
175,curcuma longa,796451-1,Curcuma longa,Curcuma longa L.,Zingiberaceae,Species,Curcuma longa,Curcuma longa L.,796451-1,Curcuma,235249,Accepted,direct_wcvp_unique,Curcuma longa
176,commiphora molmol,127741-1,Commiphora myrrha,Commiphora myrrha (T.Nees) Engl.,Burseraceae,Species,Commiphora myrrha,Commiphora myrrha (T.Nees) Engl.,127741-1,Commiphora,2733582,Synonym,direct_wcvp_unique,Commiphora molmol
180,stellaria media,159330-1,Stellaria media,Stellaria media (L.) Vill.,Caryophyllaceae,Species,Stellaria media,Stellaria media (L.) Vill.,159330-1,Stellaria,2481938,Accepted,direct_wcvp,Stellaria media
181,helianthus annuus,119003-2,Helianthus annuus,Helianthus annuus L.,Asteraceae,Species,Helianthus annuus,Helianthus annuus L.,119003-2,Helianthus,2910966,Accepted,direct_wcvp_unique,Helianthus annuus
182,nandina domestica thunb,107544-1,Nandina domestica,Nandina domestica Thunb.,Berberidaceae,Species,Nandina domestica,Nandina domestica Thunb.,107544-1,Nandina,2380006,Accepted,direct_wcvp_w_author_unique,Nandina domestica Thunb.
183,momordica charantia,293413-1,Momordica charantia,Momordica charantia L.,Cucurbitaceae,Species,Momordica charantia,Momordica charantia L.,293413-1,Momordica,2372864,Accepted,direct_wcvp_unique,Momordica charantia
185,corydalis solida subsp. tauricola,946465-1,Corydalis tauricola,Corydalis tauricola (Cullen & P.H.Davis) Lidén,Papaveraceae,Species,Corydalis tauricola,Corydalis tauricola (Cullen & P.H.Davis) Lidén,946465-1,Corydalis,2739282,Synonym,direct_wcvp_unique,Corydalis solida subsp. tauricola
186,hydnocarpus wightiana,365635-1,Hydnocarpus pentandrus,Hydnocarpus pentandrus (Buch.-Ham.) Oken,Achariaceae,Species,Hydnocarpus pentandrus,Hydnocarpus pentandrus (Buch.-Ham.) Oken,365635-1,Hydnocarpus,2912431,Synonym,knms_single,Hydnocarpus wightianus Rumphia 4: 22 (1849) Blume 1849
187,capsella bursa-pastoris,30092589-2,Capsella bursa-pastoris,Capsella bursa-pastoris (L.) Medik.,Brassicaceae,Species,Capsella bursa-pastoris,Capsella bursa-pastoris (L.) Medik.,30092589-2,Capsella,2697999,Accepted,direct_wcvp_unique,Capsella bursa-pastoris
188,lycium barbarum,816356-1,Lycium barbarum,Lycium barbarum L.,Solanaceae,Species,Lycium barbarum,Lycium barbarum L.,816356-1,Lycium,2499019,Accepted,direct_wcvp,Lycium barbarum
189,hunteria umbellata k. schum,79368-1,Hunteria umbellata,Hunteria umbellata (K.Schum.) Hallier f.,Apocynaceae,Species,Hunteria umbellata,Hunteria umbellata (K.Schum.) Hallier f.,79368-1,Hunteria,100819,Accepted,knms_single,Hunteria umbellata Jahrb. Hamburg. Wiss. Anst. 17: 190 (1899) (K.Schum.) Hallier f. 1899
191,pilocarpus jaborandi,196492-2,Pilocarpus jaborandi,Pilocarpus jaborandi Holmes,Rutaceae,Species,Pilocarpus jaborandi,Pilocarpus jaborandi Holmes,196492-2,Pilocarpus,2543316,Accepted,direct_wcvp_unique,Pilocarpus jaborandi
192,corydalis solida subsp.brachylova,77252296-1,Corydalis solida subsp. brachyloba,Corydalis solida subsp. brachyloba (Boiss.) Cullen & P.H.Davis,Papaveraceae,Subspecies,Corydalis solida,Corydalis solida (L.) Clairv.,60454743-2,Corydalis solida,3231877,Accepted,openrefine_unique,Papaveraceae Corydalis solida (L.) Clairv. subsp. brachyloba (Boiss.) Cullen & P.H.Davis
