Label,Text,Start,End
Scientific Plant Name,T ri ja ta ka,4356,4369
Scientific Plant Name,Tr ik at u,4557,4567
Scientific Plant Name,V. zi zi na lis,4756,4771
Medical Condition,inflammation,5724,5736
Medical Condition,acute abdominal pain,5774,5794
Medical Condition,allergies,6916,6925
Medical Condition,eczema,6930,6936
Scientific Plant Name,Bidens pilosa L.,179,195
Scientific Plant Name,Bidens Pilosa L.,4471,4487
Medical Condition,immunological disorders,8122,8145
Medical Condition,digestive disorders,8147,8166
Medical Condition,infectious diseases,8168,8187
Medical Condition,cancers,8189,8196
Medical Condition,metabolic syndrome,8198,8216
Medical Condition,wounds,8218,8224
Medical Condition,snake bites,8374,8385
Medical Condition,wounds,8390,8396
Medicinal Effect,antioxidant,10915,10926
Medicinal Effect,antitumor,11618,11627
Medicinal Effect,antidiabetic,11685,11697
Medicinal Effect,antihyperglycemic,11702,11719
Medicinal Effect,antioxidant,11741,11752
Medicinal Effect,antimalarial,11796,11808
Medicinal Effect,antibacterial,11819,11832
Medicinal Effect,antifungal,11847,11857
Medicinal Effect,antihypertensive,11868,11884
Medicinal Effect,vasodilatory,11886,11898
Medicinal Effect,antiulcerative,11913,11927
Medical Condition,Stomachache,12132,12143
Medical Condition,Colics,12177,12183
Medical Condition,Catarrh,12214,12221
Medical Condition,Diarrhea,12267,12275
Medical Condition,Constipation,12334,12346
Medical Condition,Dysentery,12372,12381
Medical Condition,dysentery,12392,12401
Medical Condition,Choleretic,12433,12443
Medicinal Effect,Anti-inflammatory,12477,12494
Medical Condition,Asthma,12528,12534
Medical Condition,Antirheumatic,12596,12609
Medical Condition,Acute appendicitis,12671,12689
Medical Condition,Enteritis,12718,12727
Medical Condition,Pruritus,12758,12766
Medical Condition,Conjunctivitis,12795,12809
Medical Condition,Otitis,12840,12846
Medical Condition,Pharyngitis,12877,12888
Medical Condition,Gastritis,12919,12928
Medical Condition,Diabetes,12962,12970
Medical Condition,Headache,13018,13026
Medical Condition,Diuretic,13061,13069
Medical Condition,Hypotensive,13103,13114
Medical Condition,Colds,13162,13167
Medical Condition,Yellow Fever,13237,13249
Medical Condition,Influenza,13318,13327
Medical Condition,Acute infectious hepatitis,13397,13423
Medical Condition,Intestinal worms,13452,13468
Medical Condition,Malaria,13494,13501
Medical Condition,Eye Infection,13674,13687
Medical Condition,Antimicrobial,13743,13756
Medical Condition,Pulmonary tuberculosis,13830,13852
Medical Condition,Bacterial infections in gastrointestinal tracts,13914,13961
Medical Condition,Renal infection,13999,14014
Medical Condition,Sore throat,14051,14062
Medical Condition,Cough,14132,14137
Medical Condition,Coolness of the uterus,14184,14206
Medical Condition,Menstrual irregularities,14244,14268
Medical Condition,Dysmenorrhea,14306,14318
Medical Condition,Hyperemesis gravidarum,14353,14375
Medical Condition,Hemorrhoids,14420,14431
Medical Condition,Nose bleeds,14460,14471
Medical Condition,Stomach ulcers,14541,14555
Medical Condition,Cuts,14643,14647
Medical Condition,burns,14649,14654
Medical Condition,Wounds,14810,14816
Medical Condition,Snake bites,14874,14885
Medicinal Effect,antitumor,15170,15179
Medicinal Effect,anti-cancer,7722,7733
Medicinal Effect,anti-malarial,7738,7751
Scientific Plant Name,B. pilosa,7766,7775
Medical Condition,cancer,8007,8013
Medical Condition,cancer,8112,8118
Scientific Plant Name,B. pilosa,8432,8441
Scientific Plant Name,B. pilosa,8783,8792
Scientific Plant Name,B. pilosa,17392,17401
Scientific Plant Name,Bicyclogermacrene,130,147
Scientific Plant Name,E-Caryophyllene,229,244
Scientific Plant Name,Germacrene D,329,341
Scientific Plant Name,Z--Bisabolene,424,437
Scientific Plant Name,Phytol,945,951
Scientific Plant Name,Phytanic acid,1170,1183
Scientific Plant Name,Phythyl heptanoate,1271,1289
Scientific Plant Name,Campestrol,1483,1493
Scientific Plant Name,-sitosterol,1616,1627
Scientific Plant Name,-Sitosterol glucoside,1826,1847
Scientific Plant Name,Stigmasterol,2033,2045
Scientific Plant Name,Lupeol,2319,2325
Scientific Plant Name,Lupeol acetate,2391,2405
Scientific Plant Name,-amyrin,2461,2468
Scientific Plant Name,Friedelan-3-ol,2548,2562
Scientific Plant Name,Friedelin,2639,2648
Scientific Plant Name,Squalene,2757,2765
Scientific Plant Name,-Carotene,2839,2848
Scientific Plant Name,-Carotene,2849,2858
Medical Condition,antileukemic,3031,3043
Medical Condition,antitumor,3369,3378
Medical Condition,anticancer,3466,3476
Medical Condition,skin cancer,3860,3871
Medical Condition,anticancer,4556,4566
Medical Condition,fatty acid synthase,5024,5043
Medical Condition,chemotherapy,5185,5197
Medical Condition,Tumor resistance,5682,5698
Medical Condition,anti-tumor,6522,6532
Medical Condition,anti-tumor,6605,6615
Medical Condition,Anti-Inflammatory,8258,8275
Medical Condition,anti-inflammatory,8350,8367
Scientific Plant Name,7,213,214
Scientific Plant Name,7,572,573
Scientific Plant Name,5,574,575
Scientific Plant Name,7,1042,1043
Scientific Plant Name,5,1943,1944
Scientific Plant Name,7,2143,2144
Scientific Plant Name,7,2410,2411
Scientific Plant Name,5,2498,2499
Scientific Plant Name,7,2651,2652
Scientific Plant Name,7,2660,2661
Scientific Plant Name,5,2662,2663
Scientific Plant Name,7,2730,2731
Scientific Plant Name,5,2934,2935
Scientific Plant Name,7,3074,3075
Scientific Plant Name,5,3181,3182
Scientific Plant Name,5,3359,3360
Scientific Plant Name,7,3366,3367
Scientific Plant Name,5,3655,3656
Scientific Plant Name,7,3662,3663
Scientific Plant Name,7,3737,3738
Scientific Plant Name,5,4111,4112
Scientific Plant Name,7,4118,4119
Scientific Plant Name,5,4421,4422
Scientific Plant Name,B. pilosa,5000,5009
Scientific Plant Name,Pyrocatechin,5108,5120
Scientific Plant Name,Pyrocatechol,5174,5186
Scientific Plant Name,p-Vinylguaiacol,5309,5324
Scientific Plant Name,2-Phenyl-ethanol,5454,5470
Scientific Plant Name,Vanillin,5530,5538
Scientific Plant Name,Vanillin,5603,5611
Scientific Plant Name,Protocatechuic acid,5824,5843
Scientific Plant Name,Vanillic acid,5910,5923
Scientific Plant Name,Gallic acid,6155,6166
Scientific Plant Name,B. pilosa,6237,6246
Medical Condition,anti-inflammatory,6321,6338
Scientific Plant Name,B. pilosa,6351,6360
Medical Condition,anti-inflammatory,6412,6429
Medical Condition,antiallergic,6454,6466
Scientific Plant Name,B. pilosa,6479,6488
Scientific Plant Name,B. pilosa,6545,6554
Scientific Plant Name,B. pilosa,6710,6719
Scientific Plant Name,B. pilosa,7153,7162
Medical Condition,anti-inflammatory,7186,7203
Medical Condition,anti-inflammatory,7248,7265
Scientific Plant Name,B. pilosa,7292,7301
Scientific Plant Name,B. pilosa,7422,7431
Medical Condition,anti-inflammatory,7467,7484
Medical Condition,anti-inflammatory,7530,7547
Medical Condition,anti-inflammatory,7813,7830
Medical Condition,anti-inflammatory,7967,7984
Medical Condition,anti-inflammatory,9200,9217
Medical Condition,anti-inflammatory,9443,9460
Scientific Plant Name,7,10361,10362
Medicinal Effect,immunomodulatory,10380,10396
Scientific Plant Name,B. pilosa,10411,10420
Scientific Plant Name,2-O--glucosyltrideca-11(E)-en-3,10462,10493
Scientific Plant Name,-,10500,10501
Scientific Plant Name,-diol,10512,10517
Scientific Plant Name,B. pilosa,49,58
Scientific Plant Name,B. pilosa,492,501
Scientific Plant Name,B. pilosa,803,812
Scientific Plant Name,B. pilosa,983,992
Scientific Plant Name,B. pilosa,3652,3661
Scientific Plant Name,B. pilosa,3752,3761
Medical Condition,arthritis,3805,3814
Scientific Plant Name,B. pilosa,3997,4006
Medical Condition,arthritis,4137,4146
Scientific Plant Name,B. pilosa,4206,4215
Scientific Plant Name,B. pilosa,4323,4332
Medicinal Effect,Antidiabetic,4403,4415
Scientific Plant Name,B. pilosa,4532,4541
Medicinal Effect,antidiabetic,4604,4616
Scientific Plant Name,pilosa,4640,4646
Scientific Plant Name,B. pilosa,4758,4767
Medical Condition,diabetes,4787,4795
Medical Condition,T1D,4797,4800
Medical Condition,diabetes,4813,4821
Medical Condition,T2D,4823,4826
Medical Condition,T1D,4864,4867
Medical Condition,hyperglycemia,4967,4980
Medical Condition,T1D,5203,5206
Scientific Plant Name,B. pilosa,5260,5269
Medical Condition,T1D,5401,5404
Scientific Plant Name,B. pilosa,5758,5767
Medicinal Effect,cytotoxicity,5890,5902
Scientific Plant Name,B. pilosa,6032,6041
Medical Condition,diabetes,7040,7048
Medical Condition,diabetes,7380,7388
Scientific Plant Name,B. pilosa,7442,7451
Medicinal Effect,prevention of diabetes,8309,8331
Scientific Plant Name,B. pilosa,8351,8360
Scientific Plant Name,B. pilosa,8632,8641
Scientific Plant Name,Centaureidin,63,75
Medical Condition,Anti-listerial,100,114
Medical Condition,Cytotoxic,124,133
Scientific Plant Name,10,135,137
Scientific Plant Name,Centaurein,143,153
Medical Condition,Anti-listerial,179,193
Medical Condition,Cytotoxic,203,212
Scientific Plant Name,10,214,216
Medical Condition,Anti-viral,218,228
Scientific Plant Name,Luteolin,239,247
Medical Condition,Anti-viral,273,283
Medical Condition,Cytotoxic,295,304
Medical Condition,Anti-inflammatory,310,327
Medical Condition,Anti-allergic,334,347
Scientific Plant Name,Butein,357,363
Medical Condition,Anti-leishmanial,389,405
Medical Condition,Cytotoxic,412,421
Scientific Plant Name,-,433,434
Scientific Plant Name,-tetrayne,459,468
Medical Condition,Anti-angiogeneic,492,508
Scientific Plant Name,-,521,522
Scientific Plant Name,-triyne,555,562
Medical Condition,Anti-angiogeneic,586,602
Scientific Plant Name,-,615,616
Scientific Plant Name,-triyne,646,653
Medical Condition,Anti-angiogeneic,677,693
Medical Condition,Anti-proliferative,700,718
Scientific Plant Name,1-,728,730
Scientific Plant Name,-triyne,747,754
Medical Condition,Anti-microbial,775,789
Medical Condition,Anti-malarial,796,809
Scientific Plant Name,3,811,812
Medical Condition,Cytotoxic,814,823
Scientific Plant Name,3,825,826
Medical Condition,Antifungal,828,838
Scientific Plant Name,Linoleic acid,847,860
Medical Condition,Anti-viral,886,896
Medical Condition,Cytotoxic,903,912
Scientific Plant Name,Ethyl caffeate,922,936
Medical Condition,Anti-inflammatory,967,984
Scientific Plant Name,2-O--,993,998
Scientific Plant Name,-,1030,1031
Scientific Plant Name,-diol,1042,1047
Medicinal Effect,Immunosuppressive,1070,1087
Medical Condition,Anti-inflammatory,1092,1109
Scientific Plant Name,2--D-Glucopyranosyloxy-1-,1118,1143
Scientific Plant Name,-tetrayne,1166,1175
Medical Condition,Anti-diabetic,1198,1211
Medical Condition,Anti-inflammatory,1218,1235
Scientific Plant Name,3--D-Glucopyranosyl-1-,1244,1266
Scientific Plant Name,-triyne,1298,1305
Medical Condition,Anti-diabetic,1328,1341
Medical Condition,Anti-inflammatory,1347,1364
Scientific Plant Name,2--D-Glucopyranosyloxy-1-,1373,1398
Scientific Plant Name,-triyne,1427,1434
Medical Condition,Anti-diabetic,1457,1470
Medical Condition,Anti-inflammatory,1476,1493
Medical Condition,Anti-malarial,1499,1512
Medicinal Effect,antibacterial,1517,1530
Scientific Plant Name,Quercetin 3-O--D-galactopyranoside,1540,1574
Medical Condition,Anti-inflammatory,1600,1617
Scientific Plant Name,-Di-O-caffeoylquinic acid,1631,1656
Medical Condition,Anti-viral,1688,1698
Medicinal Effect,Antioxidant,1704,1715
Scientific Plant Name,-Di-O-caffeoylquinic acid,1728,1753
Medical Condition,Anti-viral,1785,1795
Medicinal Effect,Antioxidant,1801,1812
Scientific Plant Name,-Di-O-caffeoylquinic acid,1825,1850
Medical Condition,Anti-viral,1882,1892
Medicinal Effect,Antioxidant,1898,1909
Scientific Plant Name,Quercetin,1919,1928
Scientific Plant Name,-dimethyl ether 7-O--L-rhamnopyranosyl-(1- 6)--D-glucopyranoside,1933,1997
Medical Condition,Anti-malarial,2024,2037
Scientific Plant Name,Quercetin,2048,2057
Scientific Plant Name,-dimethyl ether-7-O--D-glucopyranoside,2061,2099
Medical Condition,Anti-malarial,2126,2139
Scientific Plant Name,1-,2149,2151
Scientific Plant Name,-diyn-5-en-7-ol-acetate,2161,2184
Medical Condition,Anti-malarial,2207,2220
Scientific Plant Name,Heptanyl 2-O--xylofuranosyl-(1- 6)--glucopyranoside,2230,2281
Medicinal Effect,Antioxidant,2311,2322
Scientific Plant Name,3-O-Rabinobioside,2332,2349
Medicinal Effect,Antioxidant,2376,2387
Scientific Plant Name,Quercetin 3-O-rutinoside,2397,2421
Medicinal Effect,Antioxidant,2447,2458
Scientific Plant Name,Chlorogenic acid,2468,2484
Medicinal Effect,Antioxidant,2508,2519
Scientific Plant Name,Jacein,2529,2535
Medicinal Effect,Antioxidant,2561,2572
Scientific Plant Name,(,2581,2582
Scientific Plant Name,-,2588,2589
Scientific Plant Name,-pentayne,2616,2625
Medical Condition,Anti-malarial,2647,2660
Medicinal Effect,Antibacterial,2665,2678
Scientific Plant Name,ethyl caffeate,2798,2812
Scientific Plant Name,Ethyl caffeate,2902,2916
Scientific Plant Name,4,3187,3188
Scientific Plant Name,cytopiloyne,3263,3274
Scientific Plant Name,cytopiloyne,3311,3322
Scientific Plant Name,7,3372,3373
Scientific Plant Name,4,3402,3403
Scientific Plant Name,4,3458,3459
Scientific Plant Name,cytopiloyne,3478,3489
Scientific Plant Name,4,3505,3506
Scientific Plant Name,cytopiloyne,3525,3536
Scientific Plant Name,4,3586,3587
Scientific Plant Name,B. pilosa,3631,3640
Scientific Plant Name,10,3958,3960
Scientific Plant Name,B. pilosa,4054,4063
Scientific Plant Name,cytopiloyne,4065,4076
Medicinal Effect,anti-T1D,4102,4110
Scientific Plant Name,cytopiloyne,4156,4167
Scientific Plant Name,cytopiloyne,4232,4243
Scientific Plant Name,3,4258,4259
Scientific Plant Name,cytopiloyne,4436,4447
Scientific Plant Name,1,4511,4512
Scientific Plant Name,B. pilosa,4601,4610
Medicinal Effect,Antioxidant,4812,4823
Scientific Plant Name,B. pilosa,4879,4888
Scientific Plant Name,cytopiloyne,5017,5028
Scientific Plant Name,cytopiloyne,5138,5149
Scientific Plant Name,cytopiloyne,5382,5393
Scientific Plant Name,Cytopiloyne,5717,5728
Scientific Plant Name,3,5767,5768
Scientific Plant Name,cytopiloyne,5971,5982
Scientific Plant Name,cytopiloyne,6220,6231
Scientific Plant Name,cytopiloyne,6345,6356
Scientific Plant Name,cytopiloyne,6713,6724
Medical Condition,anti-diabetic,6890,6903
Medicinal Effect,Antibacterial,6982,6995
Scientific Plant Name,B. pilosa,7048,7057
Medicinal Effect,Antibacterial,7570,7583
Scientific Plant Name,B. pilosa,7615,7624
Scientific Plant Name,10,7701,7703
Scientific Plant Name,5,7724,7725
Scientific Plant Name,5,7726,7727
Scientific Plant Name,5,7748,7749
Scientific Plant Name,10,7750,7752
Scientific Plant Name,10,7775,7777
Scientific Plant Name,10,7804,7806
Scientific Plant Name,10,7807,7809
Scientific Plant Name,5,7832,7833
Scientific Plant Name,10,7834,7836
Scientific Plant Name,5,7864,7865
Scientific Plant Name,5,7866,7867
Scientific Plant Name,10,7888,7890
Scientific Plant Name,10,7912,7914
Scientific Plant Name,10,7941,7943
Medicinal Effect,Antibacterial,7957,7970
Scientific Plant Name,B. pilosa,7983,7992
Scientific Plant Name,1,8056,8057
Scientific Plant Name,1,8085,8086
Scientific Plant Name,1,8373,8374
Scientific Plant Name,cytopiloyne,8474,8485
Scientific Plant Name,ovalbumin,8598,8607
Scientific Plant Name,cytopiloyne,8699,8710
Scientific Plant Name,cytopiloyne,8774,8785
Scientific Plant Name,cytopiloyne,8924,8935
Scientific Plant Name,B. pilosa,9257,9266
Scientific Plant Name,1,9270,9271
Scientific Plant Name,3,9495,9496
Scientific Plant Name,B. pilosa,9953,9962
Scientific Plant Name,B. pilosa,10104,10113
Scientific Plant Name,B. pilosa,10201,10210
Medicinal Effect,antihyperglycemic,10478,10495
Medical Condition,anti-,10755,10760
Medical Condition,anti-diabetic,10849,10862
Medical Condition,anti-diabetic,11098,11111
Medical Condition,anti-diabetic,11259,11272
Scientific Plant Name,3,11287,11288
Scientific Plant Name,B. pilosa,11289,11298
Scientific Plant Name,B. pilosa L. var. radiate,11310,11335
Scientific Plant Name,B.pilosa L. var. pilosa,11343,11366
Scientific Plant Name,B. pilosa L. var.minor,11378,11400
Scientific Plant Name,10,11448,11450
Medical Condition,Antifungal,11878,11888
Scientific Plant Name,B. pilosa,11901,11910
Scientific Plant Name,Cortiicum rolfsii,54,71
Scientific Plant Name,Fusarium solani,72,87
Scientific Plant Name,Fusarium oxysporum,88,106
Medicinal Effect,Antifungal,512,522
Scientific Plant Name,B. pilosa,535,544
Scientific Plant Name,Aspergillus niger,635,652
Scientific Plant Name,Aspergillus flavus,668,686
Scientific Plant Name,Penicillium notatum,700,719
Scientific Plant Name,db/db mice,944,954
Scientific Plant Name,db/db mice,1332,1342
Scientific Plant Name,glycosylated hemoglobin A1c,1526,1553
Scientific Plant Name,B. pilosa,1868,1877
Scientific Plant Name,db/db mice,2212,2222
Scientific Plant Name,b cells,2325,2332
Scientific Plant Name,b cells,2447,2454
Medical Condition,T2D,2604,2607
Scientific Plant Name,calcium/DAG/PKC cascade,2659,2682
Scientific Plant Name,b cells,2686,2693
Medicinal Effect,anti-,2810,2815
Medicinal Effect,anti-diabetic,2931,2944
Medical Condition,diabetes,2990,2998
Scientific Plant Name,B. pilosa,3097,3106
Medicinal Effect,anti-diabetic,3189,3202
Medicinal Effect,Antioxidant,3220,3231
Medical Condition,cardiovascular disease,3369,3391
Medical Condition,cancer,3393,3399
Medical Condition,neurodegenerative diseases,3401,3427
Medical Condition,ageing,3432,3438
Scientific Plant Name,macrophages,3520,3531
Medicinal Effect,antioxidant,3711,3722
Scientific Plant Name,B. pilosa,3856,3865
Scientific Plant Name,DPPH,3903,3907
Scientific Plant Name,hypoxanthine/xanthine oxidase,3913,3942
Scientific Plant Name,DPPH,3962,3966
Scientific Plant Name,hypoxanthine/xanthine oxidase,3971,4000
Scientific Plant Name,B. pilosa,4029,4038
Scientific Plant Name,Heptyl- 2-O--xylofuranosyl-(1- 6)-- glucopyranoside,4159,4210
Scientific Plant Name,Quercetin 3-O-rutinoside,4243,4267
Scientific Plant Name,Chlorogenic acid,4275,4291
Scientific Plant Name,Jacein,4408,4414
Scientific Plant Name,DPPH,4449,4453
Scientific Plant Name,B. pilosa,4512,4521
Medicinal Effect,antioxidant,4688,4699
Scientific Plant Name,B. pilosa,4714,4723
Scientific Plant Name,B. pilosa,4864,4873
Scientific Plant Name,DPPH,4995,4999
Medicinal Effect,antioxidant,5527,5538
Medicinal Effect,antioxidant,5825,5836
Scientific Plant Name,B. pilosa,5875,5884
Scientific Plant Name,B.,5976,5978
Scientific Plant Name,B. pilosa,6121,6130
Scientific Plant Name,DPPH,6151,6155
Medicinal Effect,antioxidant,6202,6213
Scientific Plant Name,B. pilosa,6250,6259
Medicinal Effect,hepatoprotective,6284,6300
Scientific Plant Name,NF-B,6337,6341
Medicinal Effect,anti-inflammatory,6497,6514
Scientific Plant Name,B. pilosa,6550,6559
Scientific Plant Name,COX-2,6594,6599
Scientific Plant Name,PGE 2,6604,6609
Scientific Plant Name,B. pilosa,6647,6656
Medicinal Effect,antioxidant,6705,6716
Medicinal Effect,antioxidant,6828,6839
Medicinal Effect,antifungal,6860,6870
Scientific Plant Name,B. pilosa,6922,6931
Scientific Plant Name,DPPH,7000,7004
Scientific Plant Name,B. pilosa,7218,7227
Medicinal Effect,antioxidant,7256,7267
Scientific Plant Name,B. pilosa,7820,7829
Medicinal Effect,antioxidant,7857,7868
Medicinal Effect,Immunomodulatory,7885,7901
Scientific Plant Name,B. pilosa,7912,7921
Medicinal Effect,immunomodulatory,7942,7958
Medical Condition,allergy,8042,8049
Medical Condition,arthritis,8056,8065
Medical Condition,T1D,8076,8079
Medicinal Effect,anti-diabetic,8134,8147
Medicinal Effect,immunomodulatory,8260,8276
Scientific Plant Name,B. pilosa,8291,8300
Scientific Plant Name,IFN-,8302,8306
Scientific Plant Name,NK cells,8343,8351
Scientific Plant Name,IFN-,8431,8435
Scientific Plant Name,IFN-,8607,8611
Scientific Plant Name,Jurkat T cells,8662,8676
Scientific Plant Name,B. pilosa,8718,8727
Scientific Plant Name,IFN-,8738,8742
Scientific Plant Name,IFN-,8896,8900
Scientific Plant Name,Centaurein,8929,8939
Scientific Plant Name,centaureidin,8950,8962
Scientific Plant Name,IFN-,9060,9064
Scientific Plant Name,centaurein,9166,9176
Scientific Plant Name,IFN-,9278,9282
Scientific Plant Name,IFN-,9305,9309
Scientific Plant Name,centaurein,9380,9390
Scientific Plant Name,IFN-,9643,9647
Scientific Plant Name,centaurein,9744,9754
Scientific Plant Name,centaureidin,9769,9781
Scientific Plant Name,B. pilosa,9869,9878
Scientific Plant Name,Th1 cells,9986,9995
Scientific Plant Name,B. pilosa,10307,10316
Medicinal Effect,immunomodulatory,10578,10594
Medicinal Effect,anti-inflammatory,10599,10616
Scientific Plant Name,B. pilosa,10628,10637
Scientific Plant Name,B. pilosa,10739,10748
Medical Condition,diabetes,10767,10775
Medical Condition,autoimmune diseases,10884,10903
Medical Condition,T1D,10905,10908
Medical Condition,autoimmune diseases,10919,10938
Medical Condition,arthritis,10951,10960
Scientific Plant Name,Th1 cells,11055,11064
Scientific Plant Name,Th2 cells,11072,11081
Scientific Plant Name,Th2 cells,11121,11130
Medical Condition,asthma,11139,11145
Scientific Plant Name,BALB/c mice,11187,11198
Medical Condition,diabetes,11393,11401
Scientific Plant Name,NOD mice,11405,11413
Scientific Plant Name,BALB/c mice,11578,11589
Medical Condition,autoimmune diseases,11872,11891
Scientific Plant Name,B. pilosa,11905,11914
Scientific Plant Name,Th0 cells,11964,11973
Scientific Plant Name,Th2 cells,11977,11986
Scientific Plant Name,CD4+ T cells,12113,12125
Scientific Plant Name,BALB/c mice,12131,12142
Scientific Plant Name,IFN-,12199,12203
Scientific Plant Name,IFN-,12537,12541
Scientific Plant Name,IFN-,12615,12619
Scientific Plant Name,IFN-,12868,12872
Medicinal Effect,anti-diabetic,13128,13141
Medicinal Effect,anti-diabetic,13161,13174
Medicinal Effect,anti-diabetic,13241,13254
Scientific Plant Name,IFN-,13484,13488
Medical Condition,T1D,13730,13733
Scientific Plant Name,NOD mice,13737,13745
Scientific Plant Name,Fas ligand,13841,13851
Scientific Plant Name,b cells,13866,13873
Medicinal Effect,immunomodulatory,14108,14124
Medical Condition,T1D,14163,14166
Medical Condition,autoimmune diseases,14199,14218
Scientific Plant Name,B. pilosa,14259,14268
Scientific Plant Name,B. pilosa,14470,14479
Scientific Plant Name,B. pilosa,14594,14603
Medical Condition,allergy,14632,14639
Medical Condition,allergy,14699,14706
Scientific Plant Name,IFN-,14717,14721
Scientific Plant Name,B. pilosa,14905,14914
Scientific Plant Name,IFN-,14954,14958
Scientific Plant Name,IFN-,15069,15073
Medicinal Effect,Antimalarial,15240,15252
Scientific Plant Name,Plasmodium,15410,15420
Medical Condition,malaria,15432,15439
Scientific Plant Name,Plasmodium parasites,15495,15515
Medicinal Effect,anti-malarial,15,28
Scientific Plant Name,B. pilosa,62,71
Medical Condition,malaria,185,192
Scientific Plant Name,B. pilosa,328,337
Medicinal Effect,anti-malarial,762,775
Medicinal Effect,Antibacterial,849,862
