,name,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_parent,plant_name_id,taxon_status,matched_by,matched_name
53,tilia tomentosa moench,835608-1,Tilia tomentosa,Tilia tomentosa Moench,Malvaceae,Species,Tilia tomentosa,Tilia tomentosa Moench,835608-1,Tilia,2517619,Accepted,direct_wcvp_w_author_unique,Tilia tomentosa Moench
54,macleaya cordata (willd. )r.br,673258-1,Macleaya cordata,Macleaya cordata (Willd.) R.Br.,Papaveraceae,Species,Macleaya cordata,Macleaya cordata (Willd.) R.Br.,673258-1,Macleaya,2502545,Accepted,knms_single,Macleaya cordata Narr. Travels Africa: 218 (1826) (Willd.) R.Br. 1826
55,raphanus sativus,77159305-1,Raphanus raphanistrum subsp. sativus,Raphanus raphanistrum subsp. sativus (L.) Domin,Brassicaceae,Subspecies,Raphanus raphanistrum,Raphanus raphanistrum L.,217826-2,Raphanus raphanistrum,2422375,Synonym,direct_wcvp_unique,Raphanus sativus
56,citrus limon,60454758-2,Citrus × limon,Citrus × limon (L.) Osbeck,Rutaceae,Species,Citrus × limon,Citrus × limon (L.) Osbeck,60454758-2,Citrus,2724178,Accepted,knms_single,Citrus × limon Reise Ostindien: 250 (1765) (L.) Osbeck 1765
57,rauvolfia serpentina,81648-1,Rauvolfia serpentina,Rauvolfia serpentina (L.) Benth. ex Kurz,Apocynaceae,Species,Rauvolfia serpentina,Rauvolfia serpentina (L.) Benth. ex Kurz,81648-1,Rauvolfia,176968,Accepted,direct_wcvp_unique,Rauvolfia serpentina
61,salvia fruticosa mill,456249-1,Salvia fruticosa,Salvia fruticosa Mill.,Lamiaceae,Species,Salvia fruticosa,Salvia fruticosa Mill.,456249-1,Salvia,182683,Accepted,direct_wcvp_w_author_unique,Salvia fruticosa Mill.
62,citrullus colocynthis,291930-1,Citrullus colocynthis,Citrullus colocynthis (L.) Schrad.,Cucurbitaceae,Species,Citrullus colocynthis,Citrullus colocynthis (L.) Schrad.,291930-1,Citrullus,2723897,Accepted,direct_wcvp_unique,Citrullus colocynthis
64,curcuma longa,796451-1,Curcuma longa,Curcuma longa L.,Zingiberaceae,Species,Curcuma longa,Curcuma longa L.,796451-1,Curcuma,235249,Accepted,direct_wcvp_unique,Curcuma longa
67,centaurea cyanus,190310-1,Centaurea cyanus,Centaurea cyanus L.,Asteraceae,Species,Centaurea cyanus,Centaurea cyanus L.,190310-1,Centaurea,2926089,Accepted,direct_wcvp_unique,Centaurea cyanus
68,artemisia absinthium,300106-2,Artemisia absinthium,Artemisia absinthium L.,Asteraceae,Species,Artemisia absinthium,Artemisia absinthium L.,300106-2,Artemisia,2909600,Accepted,direct_wcvp_unique,Artemisia absinthium
70,hypericum hircinum subsp. majus,924265-1,Hypericum hircinum subsp. majus,Hypericum hircinum subsp. majus (Aiton) N.Robson,Hypericaceae,Subspecies,Hypericum hircinum,Hypericum hircinum L.,433491-1,Hypericum hircinum,515620,Accepted,direct_wcvp_unique,Hypericum hircinum subsp. majus
76,glycyrrhiza glabra,496941-1,Glycyrrhiza glabra,Glycyrrhiza glabra L.,Fabaceae,Species,Glycyrrhiza glabra,Glycyrrhiza glabra L.,496941-1,Glycyrrhiza,2827728,Accepted,direct_wcvp_unique,Glycyrrhiza glabra
77,achillea moschata wulfen,876363-1,Achillea erba-rotta subsp. moschata,Achillea erba-rotta subsp. moschata (Wulfen) Vacc.,Asteraceae,Subspecies,Achillea erba-rotta,Achillea erba-rotta All.,50869252-1,Achillea erba-rotta,3109908,Synonym,direct_wcvp_w_author_unique,Achillea moschata Wulfen
78,achillea coarcata,173896-1,Achillea coarctata,Achillea coarctata Poir.,Asteraceae,Species,Achillea coarctata,Achillea coarctata Poir.,173896-1,Achillea,3109861,Accepted,openrefine_unique,Asteraceae Achillea coarctata Poir.
79,capparis orientalis veill,77249506-1,Capparis spinosa subsp. rupestris,Capparis spinosa subsp. rupestris (Sm.) Nyman,Capparaceae,Subspecies,Capparis spinosa,Capparis spinosa L.,146789-1,Capparis spinosa,2697418,Synonym,direct_wcvp_w_author_unique,Capparis orientalis Veill.
80,entada africana,493820-1,Entada africana,Entada africana Guill. & Perr.,Fabaceae,Species,Entada africana,Entada africana Guill. & Perr.,493820-1,Entada,2789428,Accepted,direct_wcvp_unique,Entada africana
81,caulophyllum thalictroides (l.)michaux,1056122-2,Caulophyllum thalictroides,Caulophyllum thalictroides (L.) Michx.,Berberidaceae,Species,Caulophyllum thalictroides,Caulophyllum thalictroides (L.) Michx.,1056122-2,Caulophyllum,2706078,Accepted,knms_single,Caulophyllum thalictroides Fl. Bor.-Amer. 1: 205 (1803) (L.) Michx. 1803
83,thymus serpyllum,30066276-2,Thymus serpyllum,Thymus serpyllum L.,Lamiaceae,Species,Thymus serpyllum,Thymus serpyllum L.,30066276-2,Thymus,205442,Accepted,direct_wcvp_unique,Thymus serpyllum
84,ananas comosus,12322-2,Ananas comosus,Ananas comosus (L.) Merr.,Bromeliaceae,Species,Ananas comosus,Ananas comosus (L.) Merr.,12322-2,Ananas,219669,Accepted,direct_wcvp_unique,Ananas comosus
85,mitchella repens,280970-2,Mitchella repens,Mitchella repens L.,Rubiaceae,Species,Mitchella repens,Mitchella repens L.,280970-2,Mitchella,128666,Accepted,direct_wcvp_unique,Mitchella repens
86,berberis asiatica,106433-1,Berberis asiatica,Berberis asiatica Roxb. ex DC.,Berberidaceae,Species,Berberis asiatica,Berberis asiatica Roxb. ex DC.,106433-1,Berberis,2673446,Accepted,direct_wcvp,Berberis asiatica
87,scrophularia variegata m. bieb,60461553-2,Scrophularia variegata,Scrophularia variegata M.Bieb.,Scrophulariaceae,Species,Scrophularia variegata,Scrophularia variegata M.Bieb.,60461553-2,Scrophularia,3001125,Accepted,direct_wcvp_w_author_unique,Scrophularia variegata M.Bieb.
88,digitalis purpurea,802077-1,Digitalis purpurea,Digitalis purpurea L.,Plantaginaceae,Species,Digitalis purpurea,Digitalis purpurea L.,802077-1,Digitalis,2768087,Accepted,direct_wcvp_unique,Digitalis purpurea
89,foeniculum vulgare,842680-1,Foeniculum vulgare,Foeniculum vulgare Mill.,Apiaceae,Species,Foeniculum vulgare,Foeniculum vulgare Mill.,842680-1,Foeniculum,2813604,Accepted,direct_wcvp_unique,Foeniculum vulgare
90,macleaya microcarpa(maxim.) fedde,673260-1,Macleaya microcarpa,Macleaya microcarpa (Maxim.) Fedde,Papaveraceae,Species,Macleaya microcarpa,Macleaya microcarpa (Maxim.) Fedde,673260-1,Macleaya,2502542,Accepted,knms_single,Macleaya microcarpa Beibl. Bot. Jahrb. Syst. 82: 45 (1905) (Maxim.) Fedde 1905
91,scrophularia ningpoensis hemsl,809386-1,Scrophularia ningpoensis,Scrophularia ningpoensis Hemsl.,Scrophulariaceae,Species,Scrophularia ningpoensis,Scrophularia ningpoensis Hemsl.,809386-1,Scrophularia,2587380,Accepted,direct_wcvp_w_author_unique,Scrophularia ningpoensis Hemsl.
92,calendula officinalis,187894-1,Calendula officinalis,Calendula officinalis L.,Asteraceae,Species,Calendula officinalis,Calendula officinalis L.,187894-1,Calendula,2910167,Accepted,direct_wcvp_unique,Calendula officinalis
93,ficus religiosa,853563-1,Ficus religiosa,Ficus religiosa L.,Moraceae,Species,Ficus religiosa,Ficus religiosa L.,853563-1,Ficus,2812027,Accepted,direct_wcvp,Ficus religiosa
94,nandina domestica thunb,107544-1,Nandina domestica,Nandina domestica Thunb.,Berberidaceae,Species,Nandina domestica,Nandina domestica Thunb.,107544-1,Nandina,2380006,Accepted,direct_wcvp_w_author_unique,Nandina domestica Thunb.
95,rosmarinus officinalis,457138-1,Salvia rosmarinus,Salvia rosmarinus Spenn.,Lamiaceae,Species,Salvia rosmarinus,Salvia rosmarinus Spenn.,457138-1,Salvia,179873,Synonym,direct_wcvp_unique,Rosmarinus officinalis
96,lycium barbarum,816356-1,Lycium barbarum,Lycium barbarum L.,Solanaceae,Species,Lycium barbarum,Lycium barbarum L.,816356-1,Lycium,2499019,Accepted,direct_wcvp,Lycium barbarum
97,argemone platyceras l,671713-1,Argemone platyceras,Argemone platyceras Link & Otto,Papaveraceae,Species,Argemone platyceras,Argemone platyceras Link & Otto,671713-1,Argemone,2650548,Accepted,knms_single,Argemone platyceras Icon. Pl. Rar. 1: 58 (1829) Link & Otto 1829
98,gentiana officinalis,368591-1,Gentiana officinalis,Gentiana officinalis Harry Sm.,Gentianaceae,Species,Gentiana officinalis,Gentiana officinalis Harry Sm.,368591-1,Gentiana,2821065,Accepted,direct_wcvp_unique,Gentiana officinalis
100,valeriana officinalis,860012-1,Valeriana officinalis,Valeriana officinalis L.,Caprifoliaceae,Species,Valeriana officinalis,Valeriana officinalis L.,860012-1,Valeriana,2464616,Accepted,direct_wcvp_unique,Valeriana officinalis
102,melissa officinalis,450084-1,Melissa officinalis,Melissa officinalis L.,Lamiaceae,Species,Melissa officinalis,Melissa officinalis L.,450084-1,Melissa,124103,Accepted,direct_wcvp_unique,Melissa officinalis
103,allium sativum l,528796-1,Allium sativum,Allium sativum L.,Amaryllidaceae,Species,Allium sativum,Allium sativum L.,528796-1,Allium,296499,Accepted,direct_wcvp_w_author_unique,Allium sativum L.
105,chelidonium majus,303589-2,Chelidonium majus,Chelidonium majus L.,Papaveraceae,Species,Chelidonium majus,Chelidonium majus L.,303589-2,Chelidonium,2716702,Accepted,direct_wcvp_unique,Chelidonium majus
106,panax quinquefolia,300467-2,Panax quinquefolius,Panax quinquefolius L.,Araliaceae,Species,Panax quinquefolius,Panax quinquefolius L.,300467-2,Panax,146781,Accepted,knms_single,Panax quinquefolius Sp. Pl.: 1058 (1753) L. 1753
107,avena sativa,391732-1,Avena sativa,Avena sativa L.,Poaceae,Species,Avena sativa,Avena sativa L.,391732-1,Avena,397860,Accepted,direct_wcvp_unique,Avena sativa
108,carica papaya,30011248-2,Carica papaya,Carica papaya L.,Caricaceae,Species,Carica papaya,Carica papaya L.,30011248-2,Carica,2700919,Accepted,direct_wcvp_unique,Carica papaya
109,trifolium pratense,523575-1,Trifolium pratense,Trifolium pratense L.,Fabaceae,Species,Trifolium pratense,Trifolium pratense L.,523575-1,Trifolium,2440043,Accepted,direct_wcvp_unique,Trifolium pratense
110,cinchona officinalis l,58723-2,Cinchona officinalis,Cinchona officinalis L.,Rubiaceae,Species,Cinchona officinalis,Cinchona officinalis L.,58723-2,Cinchona,40720,Accepted,direct_wcvp_w_author_unique,Cinchona officinalis L.
111,moringa oleifera,584736-1,Moringa oleifera,Moringa oleifera Lam.,Moringaceae,Species,Moringa oleifera,Moringa oleifera Lam.,584736-1,Moringa,2501705,Accepted,direct_wcvp_unique,Moringa oleifera
113,andrographis paniculata,45226-1,Andrographis paniculata,Andrographis paniculata (Burm.f.) Wall. ex Nees,Acanthaceae,Species,Andrographis paniculata,Andrographis paniculata (Burm.f.) Wall. ex Nees,45226-1,Andrographis,2637069,Accepted,direct_wcvp_unique,Andrographis paniculata
114,corydalis solida subsp.brachylova,77252296-1,Corydalis solida subsp. brachyloba,Corydalis solida subsp. brachyloba (Boiss.) Cullen & P.H.Davis,Papaveraceae,Subspecies,Corydalis solida,Corydalis solida (L.) Clairv.,60454743-2,Corydalis solida,3231877,Accepted,openrefine_unique,Papaveraceae Corydalis solida (L.) Clairv. subsp. brachyloba (Boiss.) Cullen & P.H.Davis
115,taraxacum officinale,254151-1,Taraxacum sect. Taraxacum,Taraxacum sect. Taraxacum F.H.Wigg.,Asteraceae,Species,Taraxacum sect. Taraxacum,Taraxacum sect. Taraxacum F.H.Wigg.,254151-1,Taraxacum,3137644,Synonym,direct_wcvp_unique,Taraxacum officinale
116,anthemis arvensis,177158-1,Anthemis arvensis,Anthemis arvensis L.,Asteraceae,Species,Anthemis arvensis,Anthemis arvensis L.,177158-1,Anthemis,2906677,Accepted,direct_wcvp,Anthemis arvensis
117,coptis chinensis franch,710313-1,Coptis chinensis,Coptis chinensis Franch.,Ranunculaceae,Species,Coptis chinensis,Coptis chinensis Franch.,710313-1,Coptis,2736105,Accepted,direct_wcvp_w_author_unique,Coptis chinensis Franch.
118,camellia sinensis,828548-1,Camellia sinensis,Camellia sinensis (L.) Kuntze,Theaceae,Species,Camellia sinensis,Camellia sinensis (L.) Kuntze,828548-1,Camellia,2694880,Accepted,direct_wcvp_unique,Camellia sinensis
119,cecropia obtusifolia,850947-1,Cecropia obtusifolia,Cecropia obtusifolia Bertol.,Urticaceae,Species,Cecropia obtusifolia,Cecropia obtusifolia Bertol.,850947-1,Cecropia,2707088,Accepted,direct_wcvp_unique,Cecropia obtusifolia
120,cichorium intybus,194533-1,Cichorium intybus,Cichorium intybus L.,Asteraceae,Species,Cichorium intybus,Cichorium intybus L.,194533-1,Cichorium,2901597,Accepted,direct_wcvp_unique,Cichorium intybus
121,brassica oleracea,279435-1,Brassica oleracea,Brassica oleracea L.,Brassicaceae,Species,Brassica oleracea,Brassica oleracea L.,279435-1,Brassica,2682457,Accepted,direct_wcvp_unique,Brassica oleracea
122,silybum marianum,249211-1,Silybum marianum,Silybum marianum (L.) Gaertn.,Asteraceae,Species,Silybum marianum,Silybum marianum (L.) Gaertn.,249211-1,Silybum,2901907,Accepted,direct_wcvp_unique,Silybum marianum
123,hebe salicifolia,812616-1,Veronica salicifolia,Veronica salicifolia G.Forst.,Plantaginaceae,Species,Veronica salicifolia,Veronica salicifolia G.Forst.,812616-1,Veronica,2840557,Synonym,direct_wcvp_unique,Hebe salicifolia
125,sauromatum venosum,88690-1,Sauromatum venosum,Sauromatum venosum (Aiton) Kunth,Araceae,Species,Sauromatum venosum,Sauromatum venosum (Aiton) Kunth,88690-1,Sauromatum,186383,Accepted,direct_wcvp_unique,Sauromatum venosum
126,berberis oblonga (regel) c. k.schneid,106944-1,Berberis oblonga,Berberis oblonga (Regel) C.K.Schneid.,Berberidaceae,Species,Berberis oblonga,Berberis oblonga (Regel) C.K.Schneid.,106944-1,Berberis,2674217,Accepted,direct_wcvp_w_author_unique,Berberis oblonga (Regel) C.K.Schneid.
127,vinca minor,82701-1,Vinca minor,Vinca minor L.,Apocynaceae,Species,Vinca minor,Vinca minor L.,82701-1,Vinca,213172,Accepted,direct_wcvp_unique,Vinca minor
128,euphorbia neriifolia,347489-1,Euphorbia neriifolia,Euphorbia neriifolia L.,Euphorbiaceae,Species,Euphorbia neriifolia,Euphorbia neriifolia L.,347489-1,Euphorbia,81079,Accepted,direct_wcvp,Euphorbia neriifolia
129,annona reticulata,72295-1,Annona reticulata,Annona reticulata L.,Annonaceae,Species,Annona reticulata,Annona reticulata L.,72295-1,Annona,2640996,Accepted,direct_wcvp,Annona reticulata
130,ajuga bracteosa,444595-1,Ajuga integrifolia,Ajuga integrifolia Buch.-Ham. ex D.Don,Lamiaceae,Species,Ajuga integrifolia,Ajuga integrifolia Buch.-Ham. ex D.Don,444595-1,Ajuga,5177,Illegitimate,direct_wcvp_unique,Ajuga bracteosa
131,prunus spinosa,730297-1,Prunus spinosa,Prunus spinosa L.,Rosaceae,Species,Prunus spinosa,Prunus spinosa L.,730297-1,Prunus,2921969,Accepted,direct_wcvp,Prunus spinosa
132,corchorus olitorius,320796-2,Corchorus olitorius,Corchorus olitorius L.,Malvaceae,Species,Corchorus olitorius,Corchorus olitorius L.,320796-2,Corchorus,2736427,Accepted,direct_wcvp_unique,Corchorus olitorius
133,malva sylvestris l,561932-1,Malva sylvestris,Malva sylvestris L.,Malvaceae,Species,Malva sylvestris,Malva sylvestris L.,561932-1,Malva,2504118,Accepted,direct_wcvp_w_author_unique,Malva sylvestris L.
134,capsicum annuum,316944-2,Capsicum annuum,Capsicum annuum L.,Solanaceae,Species,Capsicum annuum,Capsicum annuum L.,316944-2,Capsicum,2698415,Accepted,direct_wcvp_unique,Capsicum annuum
135,berberis umbellata wall. ex g.don,107163-1,Berberis umbellata,Berberis umbellata Wall. ex G.Don,Berberidaceae,Species,Berberis umbellata,Berberis umbellata Wall. ex G.Don,107163-1,Berberis,2674567,Accepted,direct_wcvp_w_author_unique,Berberis umbellata Wall. ex G.Don
139,arctostaphylos uva-ursi,1024084-2,Arctostaphylos uva-ursi,Arctostaphylos uva-ursi (L.) Spreng.,Ericaceae,Species,Arctostaphylos uva-ursi,Arctostaphylos uva-ursi (L.) Spreng.,1024084-2,Arctostaphylos,2647407,Accepted,direct_wcvp_unique,Arctostaphylos uva-ursi
140,thymus pulegioides l,461562-1,Thymus pulegioides,Thymus pulegioides L.,Lamiaceae,Species,Thymus pulegioides,Thymus pulegioides L.,461562-1,Thymus,205310,Accepted,direct_wcvp_w_author_unique,Thymus pulegioides L.
141,hyssopus officinalis,127231-2,Hyssopus officinalis,Hyssopus officinalis L.,Lamiaceae,Species,Hyssopus officinalis,Hyssopus officinalis L.,127231-2,Hyssopus,102273,Accepted,direct_wcvp_unique,Hyssopus officinalis
142,arctium lappa,178385-1,Arctium lappa,Arctium lappa L.,Asteraceae,Species,Arctium lappa,Arctium lappa L.,178385-1,Arctium,2900828,Accepted,direct_wcvp_unique,Arctium lappa
