name_type,non_sci_name
LP,Melissa parviflora
LP,Petroselinum sativum Hoffm.
LP,Quercus aegilops L.
LP,Alnus serrulata (Ait.) Willd.
LP,Sarracenia purpurea L.
LP,Aureolaria flava (L.) Farw.
LP,Voacanga globosa (Blanco) Merr.
LP,Aletris glabra Bur. & Franch.
LP,Pterocarpus marsupium Roxb.
LP,Mukia maderaspatana (L.) M.Roem.
LP,Aristea ecklonii Baker
LP,Palicourea caerulea (Ruiz & Pav.) Schult.
LP,Oxalis violacea L.
LP,Stemodia foliosa Benth.
LP,Centaurea africana Lam.
LP,Zigadenus elegans Pursh
LP,Nymphaea nouchali Burm.f.
LP,Xysmalobium undulatum L.
LP,Leptospermum amboinense Bl.
LP,Calamus didymocarpus
LP,Schlerochiton nitidus Clarke
LP,Aneurolepidium dasystachys (Trin.) Nevski
LP,Calamus travancoricus Beddom
LP,Alnus ferdinandi-coburgii Schneid.
LP,Aloysia wrightii Heller ex Abrams
LP,Aloe barbadensis Mill
LP,Aesculus hippocastanum L.
LP,Hypericum ascyron
LP,Quercus blumeana
LP,Rabdosia japonica (Burm. f.) Hara var. glaucocalyx (Maxim.) Hara
LP,Catalpa bungei C.a. Mey.
LP,Amomum compactum Soland. ex Maton
LP,Asparagus cochinchinensis (Lour.) Merr
LP,Vallaris pergulanus Burm.f.
LP,Leptadenia spartium Wight
LP,Corchorus asplenifolius Burch.
LP,Margaritaria discoidea (Baill.) G.L.Webster var. fagifolia (Pax) Radcl.-Sm.
LP,Populus candicans Aiton
LP,Excoecaria indica
LP,Ipomoea orizabensis (Pelletan) Ledeb. ex Steud.
LP,Tectona grandis L.f.
LP,Shorea cambodiana Pierre
LP,Caralluma umbellata
LP,Leptaulus daphnoides Bentham
LP,Salvia aethiopis L.
LP,Merremia hastata (Desr.) Hall.f.
LP,Agathis australis
LP,Smilax subpubescens A.DC.
LP,Renealmia exaltata Linn.f.
LP,Baccaurea brevipes Hook. F.
LP,Lavandula officinalis
LP,Clerodendron javanicum
LP,Avena strigosa Schreber
LP,Schoenocaulon officinale Gray
LP,Ichnocarpus frutescens (L.) W.T.Aiton
LP,Androsace septentrionalis ssp. subulifera (Gray) G. T. Robbins
LP,Satyrium yunnanense Rolfe
LP,Gastrodia angusta S.Chow & S.C.Chen
LP,Pavetta indica auct. non L.
LP,Stachytarpheta indica
LP,Pyrus lindleyi Rehder
LP,Euphorbia jolkinii Boiss.
LP,Copaiba coriacea (Mart.) Kuntze
LP,Rauvolfia ligustrina Willd. ex Roem. & Schult.
LP,Pycnophyllum convexum Griseb.
LP,Magonlia fargesii (Finet & Gagnep.) Cheng
LP,Osteospermum muricatum E.Mey. ex DC.
LP,Cinchona hirsuta Ruiz & Pav.
LP,Ranunculus cymbalaria Pursh
LP,Sinocalamus pubescens P.F.Li
LP,Croton xalapensis Kunth
LP,Bunias orientalis L.
LP,Alyxia disphaerocarpa Heurck. et Muell.-Arg.
LP,Jasminum fluminense Velloso
LP,Embryopteris glutinifera Roxb.
LP,Nauclea officinalis (Pierre ex Pit.) Merr. & Chun
LP,Aloe socotrina Lamarck
LP,Calypso bulbosa (L.) Oakes
LP,Euphot-bia kaleniozenkii Czerniaev
LP,Endostemon tereticaulis (Poir.) M.Ashby
LP,Monarda didyma L.
LP,Merremia umbellata
LP,Forsythia suspensa Vahl
LP,Callitropis araucarioides Compton
LP,Hierochloe horsfieldii Maxim.
LP,Ixora concinna
LP,Pleione yunnanensis (Rolfe) Rolfe
LP,Meteoromytus wynaadensis (Bedd.) Gamble
LP,Rothmannia capensis Thunberg
LP,Picea parryana Parry
LP,Clethra acuminata Michx.
LP,Diospyros utilis
LP,Equisetum bogotense Kunth
LP,Ephedra fragilis
LP,Curcuma wenyujin Y. H. Chen & C. Ling
LP,Randia aculeata
LP,Salvia liguliloba Sun
LP,Eucalyptus alba Reinw. Ex Bl.
LP,Adenia racemosa W.J.de Wilde
LP,Breynia cernua Muell. Arg.
LP,Euphorbia quinquecostata Volkens
LP,Ephedra saxatilis (Stapf) Royle ex Florin var. sikkimensis (Stapf) Florin
LP,Rumex crispus L.
LP,Bougainvillea spectabilis Willd.
LP,Angelica pubescens Maxim.
LP,Cratoxylum clandestinum
LP,Cyperus alternifolius
LP,Fritillaria Cirrhosa D. Don
LP,Thysanolaena maxima O.K.
LP,Cassia skinneri Benth.
LP,Ananas sativus Schult.f.
LP,Elettaria atropurpurea
LP,Aristida adscensionis L.
LP,Eugeissona utilis
LP,Solidago paniculata DC.
LP,Nicotiana attenuata Steud.
LP,Dichanthium caricosum (L.) A. Camus
LP,Thymus zygis Loefl. ex L.
LP,Euphorbia neriifolia
LP,Helianthus strumosus L.
LP,Crataegus pinnatifida Bge. var. major N. E. Br.
LP,Stenotaphrum complanatum
LP,Vanilla planifolia Andrzeiowski
LP,Rauwolfia caffra Sond.
LP,Pterocarpus officinalis Jacq.
LP,Schotia afra (L.) Thunb.
LP,Stilago bunius L.
LP,Grindelia glutinosa Dunal
LP,Tabernaemontana dichotoma Roxb.
LP,Dionaea muscipula Ellis
LP,Platanthera interrupta Maxim.
LP,Chloris imcompleta
LP,Cledendron indicum
LP,Voacanga foetida Rolfe
LP,Leucosphaera bainesii (Hook.f.) Gilg
LP,Pinus massoniana Lambert
LP,Peniocereus greggii (Engelm.) Britt. & Rose var. greggii
LP,Pellaea viridis (Forssk.) Prantl
LP,Andropogon zollingeri
LP,Sauromatum pedatum (Willd.) Schott.
LP,Smilax nipponica Miq.
LP,Amomum pterocarpusm Thwaites
LP,Chilocarpus alyxifolius Pierre
LP,Dichanthium caricosum
LP,Morinda elliptica Ridl.
LP,Quercus induta
LP,Clerodendrum indicum (L.) Kuntze
LP,Guarea macrophylla Vahl
LP,Hintonia latiflora (Sessé & Moc. ex DC.) Bullock
LP,Allium sativum L. var. pekinense (Prokh.) Maek. apud Makino
LP,Donax cannaeformis (G.Forst.) K.Schum.
LP,Salacca glabrescens
LP,Acer rubrum L.
LP,Barringtonia rubra Bl.
LP,Daemonorops melanochaetes
LP,Schleichera triljuga
LP,Sparganium erectum L. subsp. stoloniferum (Buch.-Ham. ex Graebn.) H. Hara
LP,Agastache pallidiflora ssp. neomexicana var. neomexicana (Briq.) R.W.Sanders
LP,Convolvulus auricomus (A.Rich.) Bhandari
LP,Tylophora asthmatica Wight & Arn.
LP,Sapindus saponaria L.
LP,Aloysia citrodora Palau
LP,Cyperus longus
LP,Panicum trichanthum Nees
LP,Jasminum grandiflorum L.
LP,Panicum auritum
LP,Ipomoea digitata Linn.
LP,Primula calliantha subsp. bryophila (Balf. f. & Farrer) W.W. Sm. & Forrest
LP,Greyia sutherlandii Hook. & Harv.
LP,Oldenlandia paniculata L.
LP,Pleopeltis macrocarpa (Bory ex Willd.) Kaulf.
LP,Urochloa mutica (Forssk.) T.Q.Nguyen
LP,Alangium faberi Oliv. var. platyphyllum Chun & How
LP,Euphorbia grandidens Haw.
LP,Polyandrococos caudescens (Mart.) Barb.Rodr.
LP,Cnidoscolus infestus Pax. & K.Hoffm.
LP,Canthium ciliatum Kuntze
LP,Ixora fulgens Roxb.
LP,Holcus lanatus
LP,Cardiopteris javanica
LP,Prismatomeris javanica
LP,Tabernaemontana heyneana Wall.
LP,Scutellaria indica
LP,Thuja occcidentalis L.
LP,Fraxinus chinensis Roxburgh
LP,Mentha viridis Linn.
LP,Chamaemelum nobile (L.) All.
LP,Schizostachyum caudatum
LP,Asclepias viridiflora Raf.
LP,Baliospermum solanifolium (Burm.) Suresh
LP,Jasminum diversifloium Kobuski var. glabricymosum (W.W.Smith) Kobusi
LP,Gentiana scabra Bunge var. buergeri Maximowicz
LP,Flagellaria indica
LP,Clausena lansium (Lour.) Skeels
LP,Chimaphila menziesii (R. Br. ex D. Don) Spreng.
LP,Schoenocaulon officinale (Schltdl. & Cham.) A.Gray ex Benth.
LP,Mussaenda erythrophylla Schumann et Thonning
LP,Ananas bracteatus (Lindl.) Schultes F.
LP,Solanum giganteum Jacq.
LP,Semiliquidambar cathayensis Chang
LP,Liquidambar altingia Bl.
LP,Coix lacryma-jobi L.
LP,Merremia hastata (Desr.) Hall.
LP,Ficus americana subsp. guianensis (Desv. ex Ham.) C.C. Berg
LP,Altingia excelsa Noronha
LP,Thesium angulosum DC.
LP,Tabermontana coronaria
LP,Claoxylon polot
LP,Agave Americana L.
LP,Spiraea alba Du Roi
LP,Tulipa gesneriana
LP,Rungia parviflora Nees
LP,Tilia pringlei
LP,Rottboellia vaginata
LP,Anthoxanthum ecklonii (Nees ex Trin.) Stapf
LP,Peucedanum oreoselinum Moench
LP,Hermannia coccocarpa (Eckl. & Zeyh.) Kuntze
LP,Dissotis debilis (Sond.) Triana
LP,Tectona grandis L.
LP,Liquidambar chingii (F.P.Metcalf) Ickert-Bond & J.Wen
LP,Swertia mussotii Franch.
LP,Calotropis procera (Ait.) Ait. fil.
LP,Eugenia bullockii Hance
LP,Leucas mollissima Wall. ex Benth. var. scaberula Hook. f.
LP,Tabebuia barbata (E.Mey.) Sandwith
LP,Panicum fluitans
LP,Mallotus stenanthus Müll.Arg.
LP,Kalopanax septemlobus (Thunb. Ex A. Murr.) Koidz
LP,Euphorbia spartaria N.E.Br.
LP,Typhonium roxburghii Schott
LP,Argemone ochroleuca Sweet.
LP,Disporopsis aspersa
LP,Glochidion obscurum Hook.f. Var. Macrocalyx J.J.Sm.
LP,Musa sapientum
LP,Bixa orellana L.
LP,Fadogia homblei De Wild.
LP,Parinari capensis Harv.
LP,Aralia apioides Hand.-Mazz.
LP,Curcuma purpurascens
LP,Poinsettia pulcherrima R. Grah.
LP,Salix purpurea L.
LP,Spathodea campanulata
LP,Polygonum pubescens Blume
LP,Potentilla monanthes Lindle. Ex Lehm.
LP,Palaquium lobbiannum
LP,Ribes cynosbati L.
LP,Melaleuca dissitiflora F. Mueller
LP,Cecropia concolor Miq.
LP,Dioscorea basiclavicaulis
LP,Hypericum przewalskii Maxim.
LP,Cyclanthera pedata (L.) Schrad.
LP,Elytropappus rhinocerotis (L.f.) Less.
LP,Panax notoginsengs (Burk) F.H.Chen
LP,Drypetes macrophylla (Blume) Pax & K.Hoffm.
LP,Phyllospadix torreyi S. Wats.
LP,Ligusticum sinense Oliv.
LP,Pulsatilla dahurica (Fisch.) Spreng.
LP,"Castanopsis inermis Benth, et Hook.f."
LP,Fraxinus angustifolia Tenore-Syll.
LP,Mentha longifolia L.
LP,Sutera filicaulis Hiern
LP,Arisaema angustatum Franch. & Sav. var. peninsulae (Nakai) Nakai
LP,Sideroxylon obovatum
LP,Holmskioldia sanguinea Retz.
LP,Cyclopia aurescens Kies
LP,Castanea costata
LP,Mallotus blumeana Muell. Arg.
LP,Hyssopus officinalis Linn.
LP,Oreopanax kuntzei Harms
LP,Psidium pyriferum L.
LP,Mussaenda erosa Champ.
LP,Clinopodion polycephalum
LP,Asclepias perennis Walt
LP,Oncinotis glabrata (Baill.) Stapf & Hiern
LP,Callicarpa longifolia Lamk
LP,Actoplannes cannaeformis
LP,Protium obtusifolium (Lam.) Marchand
LP,Zingiber pachystachys
LP,Vincetoxicum atratum (Bunge) Morr. & Decne.
LP,Paradisea bulbilifera Lingelsh.
LP,Trillium sessile L.
LP,Alchornea hirtella Benth.
LP,"Aspidosperma cuspa (Humb., Bonpl. & Kunth) Blake"
LP,Macaranga triloba
LP,Aloe volkensii Engl.
LP,Hypericum attenuatum Choisy
LP,Pelargonium sidifolium R. Knuth
LP,Rumex venosus Pursh
LP,Acacia seyal Delile
LP,Sporobolus pulchellus R.Br.
LP,Gymnocarpium disjunctum (Rupr.) Ching
LP,Ajuga mairei Levl
LP,Alpinia conchigera Griffith
LP,Bolbostemma paniculatum (Maxim.) Franquet
LP,Dryobalanops sumatrensis (J.F.Gmel.) Kosterm.
LP,Manilkara kauki
LP,Gomphrena vaga Mart.
LP,Erysimum repandum L.
LP,Eleocharis plantaginoides
LP,Sapium insigne (Royle) Trimen
LP,Palaquium lobbianum
LP,Prunus arborea
LP,Cymbopogon schoenanthus
LP,Metapanax davidii (Franch.) J.Wen & Frodin
LP,Allamanda hendersonii
LP,Smilax regelii Killip & C.V.Morton
LP,Tecomella undulata Seeman
LP,Callitriche terrestris subsp. subsessilis (Fassett) Bacigalupo
LP,Panicum latifolium
LP,Asparagus sarmentosus L.
LP,Crepidiastrum sonchifolium subsp. sonchifolium
LP,"Anacamptis morio (L.) R. M. Bateman, Pridgeon & M. W. Chase"
LP,Dioscorea laurifolia
LP,Holarrhena antidysenterica (Wall. ex DC.) Wall.
LP,Ekebergia capensis Sparrm.
LP,Ziziphora clinopoides Lam.
LP,Hoita macrostachya (DC.) Rydb.
LP,Malva moschata L.
LP,Ipomoea purpurea Rothman
LP,Leopoldia comosa (L.) Perl.
LP,Akebia pentaphylla Makino
LP,Myrtus tomentosa Ait.
LP,Calochortus aureus S. Wats.
LP,Dodecatheon pulchellum (Raf.) Merr. ssp. pulchellum
LP,Pentzia incana (Thunb.) Kuntze
LP,Curcuma alismatifolia Gagnepain
LP,Geranium incanum Burm.f.
LP,Smilax ornata
LP,Prinsepia uniflora Batal var. serrata Rehd.
LP,Roystonea oleracea (Jacq.) O.F.Cook
LP,Sesbania sesban (L.) Merr. var. bicolor (Wight & Arn.) F.W.Andrews
LP,Blumea riparia (Blume) DC.
LP,Conopharyngia brachyantha
LP,Amomum cardamon L.
LP,Kalopanax septemlobus (Thunb.) Koidz. var. maximowicizii (V.Houtte) Hand.-Mazz.
LP,Miscanthus sinensis Anderson
LP,Calycanthus floridus L.
LP,Rosa acicularis ssp. sayi (Schwein.) W. H. Lewis
LP,Vallaris heynei Sprengel
LP,Berberis sibirica Pall.
LP,Curcuma aeruginosa Roxb.
LP,Croton linearis Jacq.
LP,Isodon amethystoides (Benth.) C.Y.Wu & Hsuan
LP,Willughbeia coriaceae
LP,Schefflera volkensii Haarms
LP,Languas katsumadai (Hayata) Merr.
LP,Rabdosia rubescens (Hemsl.) Hara
LP,Zalacca glabrescens Griff.
LP,Melaleuca decora (Salisb.) J.Britten
LP,Thymus quinquecostatus Celak. var. przewalskii (Kom.) Ronn.
LP,Hemidesmus indicus (L.) R.Br. ex Schult.
LP,Salvia cryptantha
LP,Zallaca affinis
LP,Euphorbia kansui S. L. Liou. Ex S. B. Ho
LP,Lonicera dasystyla Rehder
LP,Carmissa spinarum L.
LP,Agastache rugosa (Fischer et Meyer) O.Kuntze
LP,Allium stracheyi Baker
LP,Costus malortieanus
LP,Calliandra eriophylla Benth.
LP,Ixora finlaysniana
LP,Pyrenacantha grandiflora Baill.
LP,Sideroxylon nodosum
LP,Asclepias mexicana Cavara
LP,Lilium wallichianum Schultes
LP,Nothopanax guillfoylei
LP,Plectranthus amethystoides Benth.
LP,Eriocaulon sieboldianum Sieb. & Zucc.
LP,Caesalpinia echinata Lam.
LP,Lilium candidum L.
LP,Stylosanthes fruticosa (Retz.) Alston
LP,Chaerophyllum procumbens (L.) Crantz
LP,Manihot utilissima
LP,Entandrophragma candollei Harms
LP,Eriochloa subglabra Hitchcock.
LP,Bulbine tortifolia Verdoom
LP,Dendrobium crumenatum Swartz
LP,Luffa cylindrica (L.) M. Roem.
LP,Aloe humilis (L.)Mill.
LP,Peucedanum sandwicense Hbd.
LP,Dracena serrulata Baker
LP,Gladiolus ecklonii Lehm.
LP,Stemona moluccana Wright.
LP,Mesona palustrica Bl.
LP,Commiphora zanzibarica (Baill.) Engl.
LP,Fritillaria cirrhosa D. Don
LP,Salvia tmolea
LP,Triticum polonicum L.
LP,Thuja orientalis L.
LP,Raphionacme hirsuta (E.Mey.) R.A.Dyer
LP,Smilax aspera L.
LP,Hilaria cenchroides Kunth
LP,Maerua triphylla var. pubescens (Klotzsch)DeWolf
LP,Harrisonia perforata (Blanco) Merr.
LP,Verbesina virgata Cav.
LP,Pholidota articulata Lindl.
LP,Tylophora brevipes F.-Vill.
LP,Pigafetta filifera
LP,Endospermum moluccanum Becc.
LP,Flagellaria neocaledonica Schultz.
LP,Asclepias californica Greene
LP,Seaforthia olivaeformis
LP,Rubus pinnatiformis Gust.
LP,Curculigo crassifolia (Baker) Hook.f.
LP,Pinus edulis Engelm.
LP,Curcuma xanthorrhiza Roxb.
LP,Senecio nitidus DC.
LP,Quercus mongolica Fischer ex Ledebour var. crispula Ohashi
LP,Ferula assa-foetida L.
LP,Psydrax livida (Hiern) Bridson
LP,Allium tuberosum Rottl. ex Spreng.
LP,Gloriosa superba Linn.
LP,Prunella vulgaris
LP,Smilax china
LP,Clintonia umbellulata (Michx.) Morong
LP,Croton moritibensis Baill.
LP,Sterculia lychnophora Hance
LP,Psorospermum corymbiferum Hoch.
LP,Periploca indica L.
LP,Teucrium marum
LP,Torreya grandis Fort. ex Lindl.
LP,Piper auritum Kunth
LP,Anacyclus pyrethrum DC.
LP,Ceriscoides turgida (Roxb.) Tiruv.
LP,Leuzea carthamoides (Willd.) DC.
LP,Pityrogramma calomelanos (Sw.) Link
LP,Scutellaria likiangensis Dieis
LP,Pachycarpus rigidus
LP,Archontophoenix alexandrae
LP,Planchonia careya (F.Muell.) R.Knuth
LP,Mallotus subulatus Muell.-Arg.
LP,Mostuea batesii Baker
LP,Yucca schidigera Roerl. et Ortigies
LP,Juncus decipiens (Buchen.) Nakai
LP,Olea lancea Lam.
LP,Helichrysum nudifolium (L.) Less.
LP,Cymbopogon flexuosus (Nees ex Steud.) J.F.Watson
LP,Prosopis glandulosa Torr.
LP,Cryptostegia madagascariensis Bojer
LP,Nectandra puberula (Schott) Nees
LP,Yucca elephantipes Regel
LP,Triticum durum Desf.
LP,Breynia septata Bentham
LP,Laccosperma secundiflorum
LP,Mussaenda glabrata Vahl
LP,Nervilia aragoana Gaud.
LP,Anthocleista nobilis G. Don
LP,Carissa spinarum
LP,Brugmansia suaveolens (Humb. & Bonpl. ex Willd.) Bercht. & J.Presl
LP,Brucea javanica (L.) Merr.
LP,Andropogon dulec
LP,Houttuynia cordata
LP,Solidago flexicaulis L.
LP,Cupressus macrocarpa
LP,Phyllanthus polyphyllus
LP,Ammi visnaga (L.) Lam.
LP,Eugenia zeylanica Wight
LP,Mentha arvensis var. piperascens Holmes
LP,Madia sativa Molina
LP,Combretum kraussii Hochst.
LP,Orthosiphon pallidus Royle ex Benth.
LP,Aframomum sanguineum
LP,Inga alba (Sw.)willd.
LP,Angophora costata (Gaertn.) Britten
LP,Himatanthus articulatus (Vahl) Woodson
LP,Commiphora marlothii Engl.
LP,Eugenia chequen Molina
LP,Schefflera heterobotrya
LP,Kigelia africana
LP,Zizania caduciflora Hand.-Mazz.
LP,Eugenia lateriflora Perry
LP,Torreya californica Torr.
LP,Lomatium dissectum var. multifidum (Nutt.) Mathias & Constance
LP,Emilia coccinea (Sims) G. Don
LP,Panicum arnottianum
LP,Aristolochia odoratissima L.
LP,Pollia sorsogonensis (E.Mey. ex C.Presl) Steud.
LP,Eucommia ulminoides Olivier
LP,Bambusa beecheyana Munro
LP,Antidesma neurocarpum Miq.
LP,Phalaris arundinacea
LP,Acalypha communis Müll. Arg.
LP,Eugenia glauca King.
LP,Glaucium flavum Crantz
LP,Erythrina variegata L.
LP,Paris polyphylla var. yunnanensis (Franch.) Hand.-mazz.
LP,Dysoxylum macrothysum
LP,Diosma hirsuta L.
LP,Pimpinella tibetanica H. Wolff
LP,Marsdenia tomentosa Morr. & Decne.
LP,Jasminum subtri-plinerve
LP,Acanthopanax senticosus (Rupr. et Maxim.) Harms
LP,Gardenia angkorensis Pitard
LP,Euphorbia sequieriana Necker
LP,Citrus aurantium L. var. sinensis L.
LP,Baphicacanthus cusia (Nees) Bremek.
LP,Agathisanthemum bojeri Klotzsch subsp. bojeri
LP,Allium odorum L.
LP,Polygonum perfoliatum L.
LP,Rhaphidophora pertusa (Roxb.) Schott
LP,Gladiolus psittacinus Hooker
LP,Sagittaria montevidensis Cham. & Schltdl.
LP,Lobelia excelsa Lesch.
LP,Asclepias tuberosa L.
LP,Strophanthus gratus (Wall. et Hook. ex Benth.) Baill.
LP,Alyxia halmaheirae Miq.
LP,Ficus thonningii Blume
LP,Ipomoea brasiliensi (L.) Sweet
LP,Quercus nigra L.
LP,Hypoxis iridifolia Baker
LP,Memecylon guineense Keay
LP,Vitis arachnoidea
LP,Indigofera enneaphylla L.
LP,Cissampelos hirta Klotzsch
LP,Dolichandrone arcuata (Wight) C.B.Clarke
LP,Leptaspis cochleata Thwaites.
LP,Thysanospermum diffusum Champ.
LP,Stemodia maritima L.
LP,Vitex amboniensis Guerke
LP,Lithospermum fruticosum L.
LP,Orbea variegata (L.) Haw.
LP,Amomum foetens (Bl.) K.Schum.
LP,Emilia scabra DC.
LP,Linaria vulgaris Mill.
LP,Stereospermum acuminatissimum Schumann
LP,Cestrum laevigatum Schltdl.
LP,Dipcadi polyphyllum Baker
LP,Platanthera psycodes (L.) Lindl.
LP,Vitex celebica
LP,Rorippa nasturtium-aquaticum (L.) Hayek
LP,Microglossa mespilifolia (Less.) B.L.Rob.
LP,Aristida congesta Roem. & Schult.
